policy,step,q_R_x,q_R_y,q_R_z,d_HR,d_RL,theta_HR,theta_RL,snr_HR,snr_RL,rate_HR,rate_RL,rate_e2e,reward,constraint_violation
random,1,489.4299658899897,479.0509504354701,209.05606838239123,791.2919127992302,329.8269770891624,1.5411384244832702,0.33698830686179315,10.5099151281438,22866.88548517715,3524805.2902465165,14481035.350411247,1762402.6451232582,1.4518356346289072,0
random,2,463.7761430900423,481.20387069387147,200.99740339714637,800.0441310730479,351.5682749129482,1.5197643987833054,0.29138256316021105,10.258629202879444,21084.55275793116,3492959.2773146383,14363967.221924063,1746479.6386573191,1.4348107704705453,0
random,3,468.4023200070922,475.00469917291827,229.5727097327216,771.4799984659044,356.89056242438704,1.5185499640514102,0.37154995455000484,11.11285717144292,18266.26729684998,3598467.3018587576,14156973.208799185,1799233.6509293788,1.493138289997328,0
random,4,487.3699015542941,455.8482819683545,234.46871955246957,766.9074487417173,343.17457539479585,1.5108801273108903,0.4026281174492669,11.259147420373864,18927.052612984502,3615786.7431518584,14208238.3685039,1807893.3715759292,1.5032465687809922,0
random,5,495.7047096898651,448.1921345318984,237.33338749504304,764.4363062237398,337.8463229785901,1.502738634448962,0.41861629503941855,11.339375498438383,19052.04280791276,3625197.475751944,14217733.79686564,1812598.737875972,1.5144085718700875,0
random,6,506.5287080807723,443.84767287206256,226.18221771765053,775.8799314632778,324.34616552499585,1.4978717336072123,0.39958453365156177,10.9746850911192,21539.679806584587,3581915.811520684,14394776.160448853,1790957.905760342,1.4876074211044465,0
random,7,511.66241989123057,441.03873545430906,214.16823752947147,788.1268943907976,315.67289601800434,1.4944608890371622,0.3700545242097686,10.602993214543279,23983.629203774206,3536425.119096797,14549822.515565349,1768212.5595483985,1.461957918772915,0
random,8,529.3251887825801,452.97840147808336,198.81402817280065,803.1002172066599,291.95906617003226,1.5017381303585002,0.34527095262637797,10.172942113562595,29554.26954563448,3481937.228223957,14851127.757653967,1740968.6141119786,1.4239924351593274,0
random,9,533.7906113981004,454.4901917067704,221.3222779072064,780.7380757675174,296.0703908655459,1.4981307441206198,0.4222075124723226,10.825007770017356,25308.462656330204,3563769.2264234344,14627389.257552098,1781884.6132117172,1.4725028120051213,0
random,10,510.87455809339815,449.57756101388406,236.75073368112135,764.9902750384098,323.78496980762,1.5033171284920952,0.4360368561633612,11.321318211808206,20266.436143424286,3623084.7077304744,14306875.97713014,1811542.3538652372,1.5057379350208537,0
random,11,520.9675094854618,465.45181298665284,241.13229009776438,759.9430339256988,314.59661679187616,1.5175921930047058,0.4652133660187972,11.487399483761529,20406.02461785561,3642401.1601032615,14316778.229632894,1821200.5800516307,1.5202855717692438,0
random,12,543.4961781953151,454.27666375753864,252.85001207418395,749.8104063376867,302.07277313360913,1.4865321984110975,0.5305455098314128,11.831690180443605,19357.697983379512,3681639.308521822,14240694.303438364,1840819.654260911,1.5385442267302978,0
random,13,549.1583708216162,459.07037601448815,250.22233195226875,752.5013827525667,295.23466271025626,1.485687767824828,0.5338175884560105,11.738806493222098,20201.512624129005,3671158.2118090014,14302247.114355247,1835579.1059045007,1.5392146749268414,0
random,14,536.2341027472652,452.2178625612908,260.34149490532,742.0854041274547,312.3539277810105,1.4898993415540889,0.5390637438239283,12.104349401103393,17624.21531771283,3711973.8240514915,14105353.261792744,1855986.9120257457,1.5611580562963838,0
random,15,513.9945160683862,437.0747525831057,253.79847709331364,748.9807380905892,330.77589869525934,1.484622546495822,0.48359255518862776,11.860543239454488,17597.32670660916,3684879.6794127957,14103150.639841545,1842439.8397063978,1.5419276134703486,0
random,16,535.8335842502971,423.78001645393954,248.71626812601556,755.9899320959809,312.58584342086823,1.4591568615482193,0.4958294375292951,11.619964002948274,19415.91432892061,3657635.890085631,14245026.330251532,1828817.9450428155,1.5263295220284754,0
random,17,519.8337492711488,422.87778027442096,254.06367834995092,750.1747865280176,328.90208544425366,1.4644450392978687,0.4874994081701014,11.819050526573198,17672.30854002032,3680217.5041660275,14109284.525124667,1840108.7520830138,1.5441305188899925,0
random,18,511.9889636448323,426.85825369680447,281.2495538814566,722.5618686985656,348.0682015020702,1.4680391607032703,0.5477058054847435,12.835563000212009,13602.011929050923,3790309.446539442,13731638.502643455,1895154.723269721,1.603307968923059,0
random,19,523.4185830729909,427.78773968105116,288.3051188460043,715.7322435340735,342.30207202605635,1.464530669116845,0.582500592891869,13.106560217067157,12919.075781736572,3818294.334929433,13657326.911625784,1909147.1674647166,1.625826979634884,0
random,20,516.961317486467,421.72646962026755,264.5173444686237,739.8304998014536,336.6059981463658,1.462329036530787,0.5106603470961713,12.185661216855946,15967.549305057557,3720898.01424003,13962945.63372228,1860449.007120015,1.5644183609437925,0
random,21,499.4871086132369,401.4646608865934,254.92056360256433,751.566924933561,352.1613152672546,1.4393094631915333,0.4555024983671437,11.770940328302618,16231.223826046056,3674792.8499228368,13986573.043207888,1837396.4249614184,1.537386126672983,0
random,22,484.6225740066615,392.30803364981546,246.77036997426129,761.0446113042659,364.1456054175781,1.4273642616346394,0.4148515473477626,11.450850778350057,16263.486072714353,3638172.4212586624,13989437.616188543,1819086.2106293312,1.5217645384299845,0
