episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,outage_count,constraint_violation_count,trajectory_length
1,138.04585105117584,1699830.0801294306,3399660.1602588613,13959165.279289518,0,1,100
2,181.07491135620035,2079884.974376625,4159769.94875325,13389581.496122502,0,0,100
3,333.1256277631229,4124810.50246677,8249621.00493354,11723693.247669198,0,69,100
4,382.4292555356349,4777889.911545683,9555779.823091365,11260523.30476519,0,90,100
5,380.67811137523984,4769341.200596218,9538682.401192436,11165834.750010803,0,91,100
6,383.7090132924358,4797664.135377461,9595328.270754922,11151015.635818023,0,91,100
7,388.84605919496187,4829177.229879006,9658354.459758012,11252577.583469672,0,89,100
8,398.40778506867014,4888656.639686996,9777313.279373992,11105362.612505443,0,86,100
9,396.67589265919526,4900241.998767451,9800483.997534903,11099173.653947974,0,89,100
10,401.1661570874186,4905155.102370967,9810310.204741934,11096863.315768598,0,85,100
11,398.28282897085586,4896618.992327836,9793237.984655673,11100769.290105699,0,87,100
12,400.05384541496375,4894783.223559707,9789566.447119415,11109869.76549809,0,85,100
13,395.4501211688722,4898409.096691739,9796818.193383478,11107482.614781732,0,90,100
14,396.3460696756153,4906652.57686468,9813305.15372936,11088399.658866532,0,90,100
15,399.6402710465809,4890876.171299995,9781752.34259999,11116141.229197146,0,85,100
16,400.37859838580016,4907116.3837701,9814232.7675402,11102603.897733742,0,86,100
17,398.18693439936857,4897151.418182034,9794302.836364068,11160615.758100266,0,87,100
18,398.0674782354346,4896009.971669212,9792019.943338424,11166834.758171873,0,87,100
19,397.4570127274679,4882708.524729307,9765417.049458614,11261797.897565627,0,86,100
20,389.31134418318607,4829988.6792863095,9659977.358572619,11526980.268212283,0,88,100
