episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,563.498152894482,5836463.81261992,11672927.62523984,14624841.562215991,3306.056581159971,26034.69190137406,0,14,100,,,,,100,0.0995
2,582.4003647428788,5873488.89745039,11746977.79490078,14041145.6054265,3456.690399460569,19164.81685933746,0,0,100,,,,,200,0.09900250000000001
3,616.8725951205448,6210741.734104362,12421483.468208725,14406143.271793623,5548.6689429016815,22947.537913893975,0,0,100,,,,,300,0.0985074875
4,590.305469955671,5975954.7982527055,11951909.596505411,15685657.65303222,3971.9537837569515,56268.527175777235,0,0,100,,,,,400,0.09801495006250001
5,571.0806337537518,5859439.047619773,11718878.095239546,15097205.923656031,3404.0604687633277,36281.311526574704,0,8,100,,,,,500,0.09752487531218751
6,627.3760128341477,6312213.582235477,12624427.164470954,14409400.658018803,6487.808816814325,24031.744090620683,0,0,100,,,,,600,0.09703725093562657
7,614.2469356585168,6179107.285812496,12358214.571624992,14015150.669235835,5340.1703812403775,18105.881262435832,0,0,100,,,,,700,0.09655206468094843
8,598.0223399803857,6029611.376525865,12059222.75305173,14374223.152757628,4290.338185993983,21668.68103644057,0,0,100,,,,,800,0.09606930435754368
9,622.9661177383794,6274573.933505947,12549147.867011894,14694847.51570893,6026.846245724297,27061.867114967004,0,0,100,,,,,900,0.09558895783575597
10,604.5025657871236,6103947.392777199,12207894.785554398,15121666.196807204,4751.125366266851,36183.689689766965,0,0,100,,70.09867858886719,0.19127443432807922,0.05174008756875992,1000,0.09511101304657718
11,582.8314670270262,5893010.894284444,11786021.788568888,13544166.757155905,3542.242897483232,14474.627332752743,0,3,100,-0.2819514572620392,60.922000885009766,0.5778892040252686,0.47230297327041626,1100,0.09463545798134429
12,588.2956354503793,5920204.489565077,11840408.979130154,13736859.315065734,3681.7367679962726,15644.766813936998,0,0,100,,52.15244674682617,0.9938421249389648,0.82305508852005,1200,0.09416228069143756
13,573.2267049260684,5837827.107893939,11675654.215787878,13458152.598708365,3292.2190551003177,13709.234511087485,0,7,100,-0.6722255945205688,44.772247314453125,1.4052903652191162,1.1477818489074707,1300,0.09369146928798038
14,572.4312390745272,5886152.440172067,11772304.880344134,13362859.708882008,3529.4613066466454,12848.694040798691,0,13,100,,40.05913543701172,1.63145112991333,1.4642045497894287,1400,0.09322301194154048
15,588.9974763384677,5930311.589939203,11860623.179878406,13933377.723035531,3725.109829140048,16852.64335304768,0,0,100,-1.143375039100647,36.8045654296875,1.8235270977020264,1.6318011283874512,1500,0.09275689688183278
