episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,113.89512817742433,1598534.5686699087,3197069.1373398174,14516663.658986928,8.265141452899929,24022.54268019951,0,14,100,,,,,100,0.0995
2,139.49562960385788,1699152.5075631812,3398305.0151263624,13981404.927603263,9.75681362445224,18423.358023405563,0,0,100,,,,,200,0.09900250000000001
3,166.45759151752034,1940030.8454729575,3880061.690945915,13440553.259690415,13.871672357254205,12803.659417495686,0,0,100,,,,,300,0.0985074875
4,140.90479115873154,1723420.339159092,3446840.678318184,15133649.119512176,9.92988445939238,37682.87936139433,0,0,100,,,,,400,0.09801495006250001
5,121.66086182922666,1618871.871900717,3237743.743801434,14995961.88416007,8.510151171908321,34316.054605280144,0,8,100,,,,,500,0.09752487531218751
6,177.75732910496995,2035709.6913142211,4071419.3826284423,12853417.28102275,16.219522042035813,10631.955850495773,0,0,100,,,,,600,0.09703725093562657
7,214.73176090274575,2384054.429165687,4768108.858331374,13273763.467301691,36.18961333659548,12050.107149408872,0,0,100,,,,,700,0.09655206468094843
8,147.40223105184637,1772457.0250656484,3544914.0501312967,14050209.735416435,10.725845464984957,17463.935069062612,0,0,100,,,,,800,0.09606930435754368
9,174.39162513420413,2005210.897760918,4010421.795521836,12818467.444694785,15.230781445795003,7965.816311371559,0,0,100,,,,,900,0.09558895783575597
10,154.69882667195427,1840666.9903796795,3681333.980759359,14180821.011467133,11.87781341566713,19700.954013082777,0,0,100,,5.006217002868652,0.18956688046455383,0.050225913524627686,1000,0.09511101304657718
11,176.36029818461253,2089036.895762019,4178073.791524038,13525027.385556636,26.656468851193544,13706.32091513248,0,6,100,-0.27875691652297974,3.0474252700805664,0.5702309012413025,0.4795176386833191,1100,0.09463545798134429
12,174.40221995643807,2053283.6483525105,4106567.296705021,13582686.938179547,25.23172815265106,13878.393671008125,0,4,100,,1.6793824434280396,0.9904192686080933,0.8351188898086548,1200,0.09416228069143756
13,161.11742482362408,2030563.1849731049,4061126.3699462097,13465746.143341023,22.65285790321972,13087.261384594312,0,15,100,-0.6451750993728638,1.315359115600586,1.3958097696304321,1.1770894527435303,1300,0.09369146928798038
14,194.83392934962473,2422684.053920579,4845368.107841158,13192072.31832539,52.05449302396018,11322.538822502898,0,24,100,,1.2523753643035889,1.5555881261825562,1.4692202806472778,1400,0.09322301194154048
15,171.02519890307235,1985012.8849002244,3970025.769800449,13601916.388790112,18.33908551840309,13775.439660449063,0,0,100,-0.9286372661590576,1.3185338973999023,1.5928924083709717,1.5946354866027832,1500,0.09275689688183278
16,204.92257379151414,2659815.522248376,5319631.044496752,12877536.80660641,67.10744026211864,9765.163459451956,0,40,100,,1.7774710655212402,1.7121106386184692,1.6702790260314941,1600,0.09229311239742362
17,205.20603288198143,2598162.8729601414,5196325.745920283,12927455.269531207,60.09441181354156,9509.217298573167,0,33,100,-1.1236977577209473,1.4864981174468994,1.67011559009552,1.6677260398864746,1700,0.0918316468354365
18,214.28625022275645,2755237.5384447975,5510475.076889595,12805869.374077465,76.88826303801959,9061.349999732103,0,41,100,,1.8437368869781494,1.8223835229873657,1.8641504049301147,1800,0.09137248860125932
19,214.19038741826517,2834764.003599963,5669528.007199926,12633273.677661072,76.70916032871064,8010.91898910986,0,50,100,-1.2393772602081299,1.5499988794326782,1.707053780555725,1.7690932750701904,1900,0.09091562615825302
20,203.19112149202013,2825318.093720683,5650636.187441366,12601258.03115011,78.75667578870244,7863.519933722272,0,60,100,,1.33878493309021,1.6849769353866577,1.7815468311309814,2000,0.09046104802746176
21,211.71144483324582,2748686.046270895,5497372.09254179,12739649.320010815,72.94080464494107,8586.789092093686,0,43,100,-1.2441142797470093,1.2050069570541382,1.4931690692901611,1.5974398851394653,2100,0.09000874278732444
22,212.42008379384924,2955724.59623133,5911449.19246266,12463390.316156901,94.1345580653928,7182.763451152445,0,65,100,,1.3979582786560059,1.4302793741226196,1.4963581562042236,2200,0.08955869907338782
23,219.62463721437877,2948210.940202437,5896421.880404874,12489727.453263639,87.64794588916955,7147.736549163885,0,57,100,-1.3895766735076904,0.9333758354187012,1.4489203691482544,1.4602254629135132,2300,0.08911090557802087
24,214.4702215395276,3029102.397466983,6058204.794933966,12384752.566094952,98.4462138395629,6814.1149769441245,0,71,100,,1.0175848007202148,1.419385552406311,1.3890800476074219,2400,0.08866535105013076
25,216.8604589322493,3023383.898305056,6046767.796610112,12383502.033669097,97.43922358469999,6657.652761481005,0,68,100,-1.6539008617401123,1.1695213317871094,1.4161655902862549,1.3412491083145142,2500,0.08822202429488012
26,233.11270593172264,3135816.5873973477,6271633.174794695,12290219.7039713,108.61158429720787,6138.745361526329,0,64,100,,1.0592341423034668,1.5289945602416992,1.4155993461608887,2600,0.08778091417340572
27,234.9056544120212,3152218.423716528,6304436.847433056,12269912.209129233,112.11215981917005,6070.515488394464,0,64,100,-2.046262741088867,1.0622546672821045,1.6692054271697998,1.5330642461776733,2700,0.0873420096025387
28,240.9281450380258,3253475.631915888,6506951.263831776,12167173.925103458,129.3825159433578,5798.650691166807,0,69,100,,0.9734569787979126,1.6260972023010254,1.491992712020874,2800,0.086905299554526
29,234.44660024969002,3230520.026159912,6461040.052319824,12168214.837438785,127.79777240302863,5757.794707750806,0,73,100,-2.111860990524292,1.1652722358703613,1.6897317171096802,1.596689224243164,2900,0.08647077305675337
30,239.28710690309413,3302473.297753558,6604946.595507116,12099949.723336995,138.2935977628722,5531.067561656959,0,76,100,,1.1566935777664185,2.0037741661071777,1.9668442010879517,3000,0.0860384191914696
31,246.76616075674204,3325079.966055168,6650159.932110336,12087229.116030877,136.6220650236022,5308.853852661272,0,71,100,-2.1904470920562744,0.8656526803970337,1.8497633934020996,1.8819365501403809,3100,0.08560822709551225
32,238.82581224964449,3334814.2979794787,6669628.595958957,12055750.389631955,143.29227876014275,5325.721591162592,0,80,100,,1.047552466392517,1.6308622360229492,1.704819679260254,3200,0.08518018596003468
33,241.38177465710257,3339781.8217040985,6679563.643408197,12050793.67063094,142.01164462000875,5223.719957257289,0,78,100,-2.0692830085754395,0.8362436294555664,1.756235122680664,1.8853821754455566,3300,0.08475428503023451
34,243.26095772023854,3393776.261891265,6787552.52378253,11990841.000179274,152.14656411232437,5036.7289128218,0,82,100,,1.0482207536697388,1.7234866619110107,1.8759725093841553,3400,0.08433051360508334
35,243.47744220279847,3404946.157095856,6809892.314191712,11982318.403040357,153.59642114445182,4985.038631109695,0,83,100,-2.1755526065826416,0.7441062927246094,1.7113232612609863,1.7806687355041504,3500,0.08390886103705793
36,246.0279135793924,3437542.291612184,6875084.583224368,11946649.206722254,158.9353127430759,4862.646618322216,0,84,100,,1.0359336137771606,1.6718343496322632,1.6846047639846802,3600,0.08348931673187264
