episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,142.24873518955172,1738427.80006134,3476855.60012268,15047064.743975433,10.134259915776818,34413.632265901615,0,0,100,,,,,100,0.0995
2,142.46281532536173,1733113.0491836988,3466226.0983673977,14284314.522506226,10.052804960391361,20474.30725890235,0,0,100,,,,,200,0.09900250000000001
3,142.88854079917402,1741353.2840597131,3482706.5681194263,14717160.368142301,10.1790301222751,27186.711278459985,0,0,100,,,,,300,0.0985074875
4,160.229271151791,1889860.52634501,3779721.05269002,13664657.452293854,13.718849248166908,13354.42587694496,0,0,100,,,,,400,0.09801495006250001
5,143.2544346854674,1738633.3099654615,3477266.619930923,14124846.829988284,10.137081003967959,18076.326375934157,0,0,100,,,,,500,0.09752487531218751
6,143.4101079293747,1743470.7654734978,3486941.5309469956,14466009.788468104,10.211920120564951,22801.902962119588,0,0,100,,,,,600,0.09703725093562657
7,143.28731516122502,1741934.243613506,3483868.487227012,14407227.184481865,10.188052416062764,22221.068483330277,0,0,100,,,,,700,0.09655206468094843
8,142.26122247802633,1733832.4478826427,3467664.8957652855,14536476.60096357,10.063780019085799,24316.832675559308,0,0,100,,,,,800,0.09606930435754368
9,142.12790720725,1733505.293985681,3467010.587971362,14681465.76520381,10.058307162126786,26975.72731027839,0,0,100,,,,,900,0.09558895783575597
10,146.98145667829613,1780747.02039697,3561494.04079394,14894398.17215853,11.024070918572745,31230.725228234343,0,0,100,,3.866994857788086,-0.6278979778289795,0.18041248619556427,1000,0.09511101304657718
11,151.40093247333758,1822918.7269141388,3645837.4538282775,15356731.402555048,12.68425633026442,42856.459806038576,0,0,100,0.03311101347208023,2.155468463897705,-0.20129527151584625,0.4701182246208191,1100,0.09463545798134429
12,142.5838382409461,1739101.4561210852,3478202.9122421704,15132819.136667598,10.144550988605515,36594.01587002145,0,0,100,,1.2724485397338867,0.14568524062633514,0.7476208209991455,1200,0.09416228069143756
13,142.45673337978937,1738086.501509941,3476173.003019882,15150115.560078535,10.129035631589312,36836.52775991808,0,0,100,-0.20134837925434113,0.9062051177024841,0.45777595043182373,0.8078202605247498,1300,0.09369146928798038
14,142.56954255414314,1739400.502016078,3478801.004032156,15179138.279836724,10.148875412565081,37429.56435981363,0,0,100,,0.7170206904411316,0.7986031174659729,0.9082539081573486,1400,0.09322301194154048
15,142.15325061134936,1736258.0447386953,3472516.0894773905,15254225.277865972,10.100843264566349,39634.60971411687,0,0,100,-0.40085190534591675,0.8794806003570557,0.9519832730293274,0.9398418664932251,1500,0.09275689688183278
16,173.15319592929802,2023486.6341287943,4046973.2682575886,15179003.41160862,23.014652156254414,38338.567903180316,0,0,100,,1.0942983627319336,1.154893159866333,0.9920837879180908,1600,0.09229311239742362
17,145.63699348648134,1768089.5646049792,3536179.1292099585,15217321.116767101,10.751987158742468,39099.31752739008,0,0,100,-0.5081222653388977,0.8353650569915771,0.98920738697052,0.7547834515571594,1700,0.0918316468354365
18,161.89042331363206,1918949.521768123,3837899.043536246,15199516.314656166,16.630764553192556,38730.091080833015,0,0,100,,1.0213685035705566,1.0074505805969238,0.8452991843223572,1800,0.09137248860125932
19,196.37697202024808,2241785.79559864,4483571.59119728,15315733.005165238,41.32319072173645,41833.96803198222,0,0,100,-0.5873727798461914,0.9177300930023193,0.907993495464325,0.7696322202682495,1900,0.09091562615825302
20,201.69530647634065,2365698.5294185136,4731397.058837027,15214336.224930834,56.999458163857035,39171.46327273487,0,8,100,,0.9414336085319519,0.8489373922348022,0.7683925628662109,2000,0.09046104802746176
21,211.95359420093232,2508189.3785562096,5016378.757112419,15262287.729421996,67.92419374885534,40294.58697555052,0,13,100,-0.6476893424987793,1.0157779455184937,0.7418174147605896,0.7051482200622559,2100,0.09000874278732444
22,220.60651509732972,2652966.842633958,5305933.685267916,15049204.000306524,88.20530305698122,35092.44397405336,0,20,100,,1.1835088729858398,0.7616820335388184,0.7601719498634338,2200,0.08955869907338782
23,225.0656780973187,2705701.5024314956,5411403.004862991,15255820.92479741,90.75556259719959,40038.33926174781,0,21,100,-0.7892981767654419,1.365399718284607,0.7579269409179688,0.7719453573226929,2300,0.08911090557802087
24,245.14016293940753,2943291.817144811,5886583.634289622,14682284.744058635,132.42299276536764,28205.401561659128,0,27,100,,1.2546870708465576,0.7728405594825745,0.802878737449646,2400,0.08866535105013076
25,251.60015481870317,2982392.496273927,5964784.992547854,14492340.830791244,139.88598056340197,24585.496829916905,0,25,100,-0.8592133522033691,1.2407021522521973,0.8159967064857483,0.8877114653587341,2500,0.08822202429488012
26,242.2247811666367,3004384.7626838684,6008769.525367737,14997322.478568401,139.57256466730135,35184.58424279949,0,36,100,,1.1574625968933105,0.789634108543396,0.8744236826896667,2600,0.08778091417340572
