algorithm,training_seed,evaluation_episode,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length
A0_full_td3,0,0,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
A0_full_td3,0,1,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
A0_full_td3,0,2,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
A0_full_td3,0,3,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
A0_full_td3,0,4,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
A0_full_td3,1,0,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
A0_full_td3,1,1,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
A0_full_td3,1,2,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
A0_full_td3,1,3,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
A0_full_td3,1,4,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
A0_full_td3,2,0,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
A0_full_td3,2,1,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
A0_full_td3,2,2,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
A0_full_td3,2,3,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
A0_full_td3,2,4,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
A1_isotropic_antenna,0,0,6110202.184799317,12220404.369598635,15417714.755092757,4794.46862888956,44083.768513047835,605.2234896233831,0,0,100
A1_isotropic_antenna,0,1,6110202.184799317,12220404.369598635,15417714.755092757,4794.46862888956,44083.768513047835,605.2234896233831,0,0,100
A1_isotropic_antenna,0,2,6110202.184799317,12220404.369598635,15417714.755092757,4794.46862888956,44083.768513047835,605.2234896233831,0,0,100
A1_isotropic_antenna,0,3,6110202.184799317,12220404.369598635,15417714.755092757,4794.46862888956,44083.768513047835,605.2234896233831,0,0,100
A1_isotropic_antenna,0,4,6110202.184799317,12220404.369598635,15417714.755092757,4794.46862888956,44083.768513047835,605.2234896233831,0,0,100
A1_isotropic_antenna,1,0,5920548.954237674,11841097.908475349,13838070.92453471,3676.300908904371,16542.09035684919,588.1800694083576,0,0,100
A1_isotropic_antenna,1,1,5920548.954237674,11841097.908475349,13838070.92453471,3676.300908904371,16542.09035684919,588.1800694083576,0,0,100
A1_isotropic_antenna,1,2,5920548.954237674,11841097.908475349,13838070.92453471,3676.300908904371,16542.09035684919,588.1800694083576,0,0,100
A1_isotropic_antenna,1,3,5920548.954237674,11841097.908475349,13838070.92453471,3676.300908904371,16542.09035684919,588.1800694083576,0,0,100
A1_isotropic_antenna,1,4,5920548.954237674,11841097.908475349,13838070.92453471,3676.300908904371,16542.09035684919,588.1800694083576,0,0,100
A1_isotropic_antenna,2,0,6205577.981940593,12411155.963881185,14446627.738781907,5512.73520862654,22687.340754004475,616.7591703206253,0,0,100
A1_isotropic_antenna,2,1,6205577.981940593,12411155.963881185,14446627.738781907,5512.73520862654,22687.340754004475,616.7591703206253,0,0,100
A1_isotropic_antenna,2,2,6205577.981940593,12411155.963881185,14446627.738781907,5512.73520862654,22687.340754004475,616.7591703206253,0,0,100
A1_isotropic_antenna,2,3,6205577.981940593,12411155.963881185,14446627.738781907,5512.73520862654,22687.340754004475,616.7591703206253,0,0,100
A1_isotropic_antenna,2,4,6205577.981940593,12411155.963881185,14446627.738781907,5512.73520862654,22687.340754004475,616.7591703206253,0,0,100
A2_no_balance_penalty,0,0,3436111.071246236,6872222.142492472,14127281.246366456,160.38431860010826,26266.848127686448,248.72981413328225,0,94,100
A2_no_balance_penalty,0,1,3436111.071246236,6872222.142492472,14127281.246366456,160.38431860010826,26266.848127686448,248.72981413328225,0,94,100
A2_no_balance_penalty,0,2,3436111.071246236,6872222.142492472,14127281.246366456,160.38431860010826,26266.848127686448,248.72981413328225,0,94,100
A2_no_balance_penalty,0,3,3436111.071246236,6872222.142492472,14127281.246366456,160.38431860010826,26266.848127686448,248.72981413328225,0,94,100
A2_no_balance_penalty,0,4,3436111.071246236,6872222.142492472,14127281.246366456,160.38431860010826,26266.848127686448,248.72981413328225,0,94,100
A2_no_balance_penalty,1,0,4916890.884276677,9833781.768553354,11077620.044470584,1299.8291329931467,2740.652144082943,400.7890884845909,0,90,100
A2_no_balance_penalty,1,1,4916890.884276677,9833781.768553354,11077620.044470584,1299.8291329931467,2740.652144082943,400.7890884845909,0,90,100
A2_no_balance_penalty,1,2,4916890.884276677,9833781.768553354,11077620.044470584,1299.8291329931467,2740.652144082943,400.7890884845909,0,90,100
A2_no_balance_penalty,1,3,4916890.884276677,9833781.768553354,11077620.044470584,1299.8291329931467,2740.652144082943,400.7890884845909,0,90,100
A2_no_balance_penalty,1,4,4916890.884276677,9833781.768553354,11077620.044470584,1299.8291329931467,2740.652144082943,400.7890884845909,0,90,100
A2_no_balance_penalty,2,0,4907748.008038392,9815496.016076785,11520803.82036059,1281.6196376192715,3523.3685345437725,403.87568575246803,0,86,100
A2_no_balance_penalty,2,1,4907748.008038392,9815496.016076785,11520803.82036059,1281.6196376192715,3523.3685345437725,403.87568575246803,0,86,100
A2_no_balance_penalty,2,2,4907748.008038392,9815496.016076785,11520803.82036059,1281.6196376192715,3523.3685345437725,403.87568575246803,0,86,100
A2_no_balance_penalty,2,3,4907748.008038392,9815496.016076785,11520803.82036059,1281.6196376192715,3523.3685345437725,403.87568575246803,0,86,100
A2_no_balance_penalty,2,4,4907748.008038392,9815496.016076785,11520803.82036059,1281.6196376192715,3523.3685345437725,403.87568575246803,0,86,100
A3_no_energy_penalty,0,0,3770906.7797776135,7541813.559555227,13388236.873086197,219.8850239326101,11148.700356421103,277.9359841272432,0,85,100
A3_no_energy_penalty,0,1,3770906.7797776135,7541813.559555227,13388236.873086197,219.8850239326101,11148.700356421103,277.9359841272432,0,85,100
A3_no_energy_penalty,0,2,3770906.7797776135,7541813.559555227,13388236.873086197,219.8850239326101,11148.700356421103,277.9359841272432,0,85,100
A3_no_energy_penalty,0,3,3770906.7797776135,7541813.559555227,13388236.873086197,219.8850239326101,11148.700356421103,277.9359841272432,0,85,100
A3_no_energy_penalty,0,4,3770906.7797776135,7541813.559555227,13388236.873086197,219.8850239326101,11148.700356421103,277.9359841272432,0,85,100
A3_no_energy_penalty,1,0,4917001.096438657,9834002.192877313,11077781.68031671,1300.131835175181,2744.670820903567,399.32017366470353,0,89,100
A3_no_energy_penalty,1,1,4917001.096438657,9834002.192877313,11077781.68031671,1300.131835175181,2744.670820903567,399.32017366470353,0,89,100
A3_no_energy_penalty,1,2,4917001.096438657,9834002.192877313,11077781.68031671,1300.131835175181,2744.670820903567,399.32017366470353,0,89,100
