episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,151.24188918788224,1816059.335625048,3632118.671250096,14381373.487295875,11.438822332823676,22078.53160156814,0,0,100,,,,,100,0.1
2,144.9536284696676,1756043.2140976468,3512086.4281952935,14147318.68957778,10.618909556600602,19043.594100137343,0,0,100,,,,,200,0.1
3,143.6138737774075,1749142.5118081083,3498285.0236162166,14672437.301483564,10.333504858881733,27383.064174694275,0,0,100,,,,,300,0.1
4,120.2525651770437,1664329.393968383,3328658.787936766,13832422.613929274,9.613272717331961,14990.648509106895,0,15,100,,,,,400,0.1
5,139.3651978195697,1705230.355102438,3410460.710204876,14197040.069513435,9.672474874135972,19143.96282049825,0,0,100,,4.186380863189697,-0.8006924986839294,0.2810346782207489,500,0.1
6,222.6124187317898,2650135.9994206685,5300271.998841337,14039213.01054957,145.36714347281801,21090.092641536765,0,19,100,0.05127762258052826,2.9940402507781982,-0.2955484092235565,0.6115058064460754,600,0.1
7,133.26866387487857,1659115.6738119158,3318231.3476238316,15823896.159516266,9.007220032822804,70790.71109722632,0,0,100,,1.6255371570587158,0.1491798460483551,0.7588324546813965,700,0.1
8,141.42609990043377,1728625.5457065213,3457251.0914130425,15142940.847968314,9.98640505427731,36661.05491427897,0,0,100,-0.21572494506835938,1.5951467752456665,0.47273993492126465,0.8389847278594971,800,0.1
9,138.07636247479695,1698925.9550817115,3397851.910163423,15263415.71743891,9.546296547117185,39798.556584943864,0,0,100,,1.0723793506622314,0.8430526852607727,0.9444725513458252,900,0.1
10,133.0184034402006,1655602.7713446901,3311205.5426893802,15637150.320804618,8.948259661923084,53095.780177938585,0,0,100,-0.3467719852924347,1.1579644680023193,1.016484022140503,0.9262403249740601,1000,0.1
11,118.60997289598782,1722094.2787127101,3444188.5574254203,16326355.607801285,10.365981109519534,110691.43365959323,0,21,100,,1.2291970252990723,1.0240116119384766,0.9103780388832092,1100,0.1
12,136.83998668267952,1689284.8139198138,3378569.6278396277,15439853.723871408,9.614727350978075,45391.51156512587,0,0,100,-0.4278069734573364,1.0656094551086426,0.8736097812652588,0.7407345771789551,1200,0.1
13,135.23471589752884,1819534.1439958168,3639068.2879916336,15123817.289623218,13.506398003303978,36986.06667909769,0,16,100,,1.0299429893493652,0.8770329356193542,0.6804558038711548,1300,0.1
14,125.65028851158287,1826868.2500924338,3653736.5001848675,15496225.774513,13.577158381248692,48129.50718582651,0,26,100,-0.4614983797073364,0.932749330997467,0.8220032453536987,0.6626993417739868,1400,0.1
15,141.01882780476578,2022515.2667594415,4045030.533518883,15195547.478580572,23.11299338974946,39574.581627696854,0,32,100,,0.9634487628936768,0.7353728413581848,0.6394934058189392,1500,0.1
16,122.85453024329908,2026642.8947243784,4053285.7894487567,15735261.474837262,23.126294303540803,56843.701625175236,0,50,100,-0.48269736766815186,0.894629955291748,0.7098754644393921,0.6822736263275146,1600,0.1
17,140.25693622739482,2167116.0346839977,4334232.0693679955,15385365.321125053,34.07179893845962,44496.36557758447,0,48,100,,1.055656909942627,0.6361284852027893,0.6594042181968689,1700,0.1
18,134.38290044276727,2284719.4002491874,4569438.800498375,15821644.977701878,40.83987712913847,60619.53449055383,0,66,100,-0.5242423415184021,0.8354952335357666,0.6038856506347656,0.6741993427276611,1800,0.1
19,151.7422848754136,2388731.215894881,4777462.431789762,15620939.644264076,51.070099953608434,56049.18155846065,0,60,100,,0.9793102741241455,0.603154182434082,0.708010733127594,1900,0.1
20,152.60203784260077,2358607.075980878,4717214.151961756,15532305.315079879,49.68871073003309,51304.65778977775,0,56,100,-0.606436014175415,0.7602160573005676,0.5872775912284851,0.7313490509986877,2000,0.1
21,183.42070254880326,2808605.0982061266,5617210.196412253,15866895.102010045,76.61024104791174,77518.24884034997,0,73,100,,0.71495521068573,0.5408976674079895,0.7087976336479187,2100,0.1
22,182.15931271167696,2787778.052067639,5575556.104135278,15901270.621461987,74.76338362266519,76442.86713301046,0,72,100,-0.7453773021697998,0.8580340147018433,0.6861836910247803,0.8336213231086731,2200,0.1
23,192.2208231611714,2913837.167518348,5827674.335036696,15452174.485483002,89.78045990240662,58872.79326672106,0,76,100,,0.7914369106292725,0.7071170806884766,0.8584622740745544,2300,0.1
24,197.40099037868782,2933971.778235705,5867943.55647141,15445626.395544594,92.88499286311558,63495.04511003894,0,73,100,-0.9442906379699707,0.7516217231750488,0.7131297588348389,0.8316639065742493,2400,0.1
25,205.66424604177828,3064089.766138555,6128179.53227711,15105284.918645311,110.97216544465289,53975.44116683717,0,79,100,,0.7630608081817627,0.7916364669799805,0.8419221639633179,2500,0.1
26,201.04558488052967,3013683.841066394,6027367.682132788,15324982.336667905,101.37025667751801,61119.54486183833,0,78,100,-1.0897493362426758,0.6809827089309692,0.8012434244155884,0.8460851311683655,2600,0.1
27,203.96565023875388,3037376.4667811026,6074752.933562205,14961806.42598462,113.19175099973461,47398.79387735103,0,78,100,,0.6770986914634705,1.017139196395874,1.0184608697891235,2700,0.1
28,215.85320680388708,3176051.6889392897,6352103.377878579,14937989.913469417,123.94626069662817,52535.678657665936,0,81,100,-1.2808482646942139,0.77263343334198,1.0071619749069214,0.9935116767883301,2800,0.1
29,219.78482369580723,3239842.1307871896,6479684.261574379,14805859.574415922,131.2950070279166,48733.1068785758,0,84,100,,0.7455583810806274,0.9691216945648193,0.9415799379348755,2900,0.1
30,219.5368193375974,3228341.65670594,6456683.31341188,14822464.24624471,129.41432738850503,48713.056273091956,0,83,100,-1.2499022483825684,0.5697034597396851,1.007553219795227,1.0044724941253662,3000,0.1
31,218.72795559240774,3229460.9914166997,6458921.982833399,14745136.86877787,132.22589522693386,45666.89080011708,0,84,100,,0.6008973121643066,1.0527195930480957,1.0340304374694824,3100,0.1
32,221.5915957656328,3245790.111508174,6491580.223016348,14681968.62510251,135.0997016406645,44579.959189919995,0,83,100,-1.3612945079803467,0.5848256349563599,1.2192962169647217,1.2368966341018677,3200,0.1
33,229.23022855797552,3335001.769091412,6670003.538182824,14517099.956248665,145.30272520643533,40877.60769061811,0,85,100,,0.5630226135253906,1.1705880165100098,1.2088669538497925,3300,0.1
34,220.00125034789508,3249189.8522643237,6498379.7045286475,14623240.614536678,135.44122955804553,39869.77069899638,0,85,100,-1.469117283821106,0.5389307737350464,1.138003945350647,1.1779820919036865,3400,0.1
35,229.07432067766825,3352194.6126429113,6704389.2252858225,14500328.09825871,147.1272713824138,39850.51671650388,0,87,100,,0.6027414798736572,1.1460782289505005,1.1759830713272095,3500,0.1
36,228.19626227550287,3341636.730903841,6683273.461807682,14305034.55513962,150.49474046507683,31758.508311379464,0,87,100,-1.7379262447357178,0.6732166409492493,1.2205750942230225,1.233405351638794,3600,0.1
37,231.70671431516544,3384634.3951946707,6769268.790389341,14362196.56630121,152.97430291174797,35997.47326028707,0,88,100,,0.7609185576438904,1.2487494945526123,1.2177553176879883,3700,0.1
38,234.80187242073671,3403546.111811519,6807092.223623038,14308155.248465862,155.7494527211492,35117.21915308877,0,87,100,-1.733388066291809,0.6361141800880432,1.3382214307785034,1.2766083478927612,3800,0.1
39,234.98755012734352,3415319.548826364,6830639.097652728,14329243.450488854,156.27753060924118,36212.00182881846,0,88,100,,0.6021663546562195,1.119184136390686,1.0917648077011108,3900,0.1
40,233.24362299806353,3416001.7782240943,6832003.556448189,14202757.991037922,158.43728468402443,30445.717593488254,0,90,100,-1.5145522356033325,0.655964732170105,1.157292366027832,1.146859049797058,4000,0.1
41,235.87367895305343,3440298.6621331014,6880597.324266203,14139409.851669474,161.81930074013192,28285.432935711484,0,90,100,,0.5394308567047119,1.0511000156402588,1.060275912284851,4100,0.1
42,237.71904088556857,3457982.500181057,6915965.000362114,14188803.578104485,162.3062606613599,31765.04266930353,0,90,100,-1.7708804607391357,0.6380312442779541,1.2385834455490112,1.2565007209777832,4200,0.1
43,233.1602203011749,3432347.2741173124,6864694.548234625,14030791.385152226,162.6139714870122,24066.985564989467,0,92,100,,0.6377303600311279,1.2335947751998901,1.2277019023895264,4300,0.1
44,236.45481724622704,3444980.6109942584,6889961.221988517,14070893.88522115,164.02078243201373,26650.573253875864,0,90,100,-2.111814260482788,0.5439636707305908,1.3068448305130005,1.313193440437317,4400,0.1
45,237.1546956768266,3478682.826985699,6957365.653971398,14001950.75743757,167.97379887657604,25022.523405749755,0,93,100,,0.48295336961746216,1.4961403608322144,1.4791741371154785,4500,0.1
46,238.1205506520417,3488086.389867351,6976172.779734702,14016900.314076716,168.65000127713378,25739.76956144542,0,93,100,-2.0805046558380127,0.42195776104927063,1.6130030155181885,1.6070669889450073,4600,0.1
47,234.402959892087,3461996.4544325494,6923992.908865099,13948763.523457913,167.17266542645626,22646.6058051592,0,94,100,,0.4555346965789795,1.3150384426116943,1.3999559879302979,4700,0.1
48,239.92460084757354,3485494.269846311,6970988.539692622,13949211.192149902,169.15898157164895,23084.425519872086,0,91,100,-1.7074366807937622,0.6188716292381287,1.293361783027649,1.4044737815856934,4800,0.1
49,239.54437681203788,3500171.023935395,7000342.04787079,13889531.145626709,171.35827085192003,21171.88266933259,0,93,100,,0.5209100246429443,1.2789500951766968,1.398069977760315,4900,0.1
50,235.48921116999009,3499722.5982597237,6999445.1965194475,13912893.654970322,170.8529379745825,22014.46909091569,0,97,100,-1.6973063945770264,0.8113447427749634,1.1997872591018677,1.285276174545288,5000,0.1
51,240.5280575878121,3509345.6373317065,7018691.274663413,13886406.079864454,172.62562148594301,21605.106935748827,0,93,100,,0.583116888999939,1.317661166191101,1.332797646522522,5100,0.1
52,236.5009235082477,3480789.3245904255,6961578.649180851,13895493.523531422,169.66739631958418,21125.084781606896,0,94,100,-1.9947142601013184,0.38558292388916016,1.4435951709747314,1.3836216926574707,5200,0.1
53,239.51762779664202,3491073.852582818,6982147.705165636,13929700.075242598,170.6422356430965,22750.423971882672,0,92,100,,0.475120484828949,1.5656222105026245,1.4714231491088867,5300,0.1
54,241.53412248089367,3517994.7124623097,7035989.4249246195,13831858.231001882,174.256186013571,20346.95308795763,0,93,100,-2.077540874481201,0.4500281810760498,1.5763667821884155,1.5478417873382568,5400,0.1
55,238.69845261944494,3510080.7065222086,7020161.413044417,13816886.581746187,174.1231597018716,19835.361771199976,0,95,100,,0.6149261593818665,1.4846727848052979,1.5489981174468994,5500,0.1
56,242.62656297298528,3509519.8759191767,7019039.751838353,13841340.470825441,173.67207196496565,20705.084102599943,0,91,100,-1.8147146701812744,0.4599369466304779,1.473273754119873,1.6039212942123413,5600,0.1
57,240.75253475814847,3510923.183871365,7021846.36774273,13844747.091204561,174.13351943324878,20924.157912038903,0,93,100,,0.30833446979522705,1.5708742141723633,1.7457435131072998,5700,0.1
58,240.77832082327046,3511564.766014075,7023129.53202815,13874490.068149267,173.2404701005107,21707.04658898212,0,93,100,-1.9136075973510742,0.37594300508499146,1.4423067569732666,1.5477832555770874,5800,0.1
59,239.5447626233751,3500121.395627656,7000242.791255312,13887406.899917211,172.67125825711202,22150.83386952026,0,93,100,,0.43789464235305786,1.4254146814346313,1.4214966297149658,5900,0.1
60,239.09124236247004,3514212.0427040695,7028424.085408139,13861853.476074995,173.89311869408021,21405.668113176507,0,95,100,-2.035801410675049,0.3958369791507721,1.5416810512542725,1.4608474969863892,6000,0.1
61,239.01920855662487,3504688.9640819007,7009377.928163801,13897544.822635032,172.7053213906711,22717.266371938484,0,94,100,,0.43775635957717896,1.6945152282714844,1.5636301040649414,6100,0.1
62,241.95508741179503,3512671.90156551,7025343.80313102,13829797.392090442,174.4685617214786,20432.679222975778,0,92,100,-1.8755277395248413,0.42611515522003174,1.5318623781204224,1.4954760074615479,6200,0.1
63,238.25063570835673,3497456.2731171586,6994912.546234317,13878313.02244772,172.22073478027312,21563.143225591535,0,94,100,,0.39965495467185974,1.6655791997909546,1.7188242673873901,6300,0.1
64,237.66142916881608,3500939.714838996,7001879.429677992,13863334.259157889,173.1740654038787,21309.582825608275,0,95,100,-1.736221432685852,0.41379719972610474,1.4584662914276123,1.5950993299484253,6400,0.1
65,239.267115056375,3497118.6027189437,6994237.205437887,13840923.239363642,172.74564265049412,20346.334292432657,0,93,100,,0.4397444725036621,1.4727458953857422,1.5943973064422607,6500,0.1
66,238.2082496729141,3506042.164872848,7012084.329745696,13851834.392511282,173.59529959562536,21166.655043711657,0,95,100,-2.04414701461792,0.35831204056739807,1.5616352558135986,1.5927194356918335,6600,0.1
67,240.57365717289593,3518271.638606653,7036543.277213306,13799767.342397885,175.15983063471762,19517.573327678736,0,94,100,,0.30675816535949707,1.7050405740737915,1.6357696056365967,6700,0.1
68,240.14859058954863,3505535.114299083,7011070.228598166,13842691.404055187,173.3604154890655,20431.670786443705,0,93,100,-1.9664762020111084,0.44788235425949097,1.6370385885238647,1.5337151288986206,6800,0.1
69,238.3087408943569,3497377.425654909,6994754.851309818,13815603.838341722,173.20794811389186,19712.051008966322,0,94,100,,0.4302356243133545,1.688980221748352,1.649641990661621,6900,0.1
70,239.06627147471588,3495588.4044667436,6991176.808933487,13883550.398473952,171.81572157281826,21589.05728117017,0,93,100,-1.7562541961669922,0.3291078209877014,1.6342332363128662,1.6650975942611694,7000,0.1
71,240.0470587636716,3504773.1744246227,7009546.348849245,13862059.51534047,172.6353242370512,20856.485531692433,0,93,100,,0.3861866593360901,1.5166963338851929,1.6267558336257935,7100,0.1
72,238.31917418160626,3497883.9331065607,6995767.866213121,13863050.653423438,172.64920767671163,21282.560126269724,0,94,100,-1.8855425119400024,0.3807133436203003,1.5506871938705444,1.6382148265838623,7200,0.1
73,239.53238983440937,3499398.9387195003,6998797.877439001,13833320.79939097,172.63586812165747,20026.967036037437,0,93,100,,0.33070969581604004,1.586869716644287,1.5976524353027344,7300,0.1
74,235.89727326252137,3484963.8616185086,6969927.723237017,13896382.531150537,170.97735220035588,21875.9428798501,0,95,100,-2.1405043601989746,0.3010958731174469,1.7188942432403564,1.655948519706726,7400,0.1
75,240.64381003109722,3510388.8267739792,7020777.6535479585,13859265.028354943,173.31677022215172,20843.90563177386,0,93,100,,0.419638454914093,1.8501667976379395,1.7622647285461426,7500,0.1
76,240.0908736394474,3496332.096892697,6992664.193785394,13913990.033641499,170.56051612732762,22091.73089355905,0,92,100,-1.8846776485443115,0.6309310793876648,1.7542376518249512,1.7359110116958618,7600,0.1
77,239.56822400996418,3500102.526587101,7000205.053174202,13860135.331065286,172.02178873005596,20605.543954868062,0,93,100,,0.2812320291996002,1.6880772113800049,1.7557470798492432,7700,0.1
78,235.37989312174625,3480544.5648218314,6961089.129643663,13932209.911971498,169.45232637781857,22627.967656290224,0,95,100,-1.713541030883789,0.35658568143844604,1.509999394416809,1.5907859802246094,7800,0.1
79,239.08513811000884,3486634.705998728,6973269.411997456,13882529.019613557,170.8138045719586,21123.886461788075,0,92,100,,0.32754141092300415,1.5490939617156982,1.604321002960205,7900,0.1
80,237.69081025068962,3501851.165276521,7003702.330553042,13907671.985423477,171.36479708605896,22123.767551725367,0,95,100,-2.1827545166015625,0.3075551986694336,1.7500756978988647,1.7434970140457153,8000,0.1
