episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,151.24188918788224,1816059.335625048,3632118.671250096,14381373.487295875,11.438822332823676,22078.53160156814,0,0,100,,,,,100,0.0995
2,144.9536284696676,1756043.2140976468,3512086.4281952935,14147318.68957778,10.618909556600602,19043.594100137343,0,0,100,,,,,200,0.09900250000000001
3,143.6138737774075,1749142.5118081083,3498285.0236162166,14672437.301483564,10.333504858881733,27383.064174694275,0,0,100,,,,,300,0.0985074875
4,120.2525651770437,1664329.393968383,3328658.787936766,13832422.613929274,9.613272717331961,14990.648509106895,0,15,100,,,,,400,0.09801495006250001
5,139.3651978195697,1705230.355102438,3410460.710204876,14197040.069513435,9.672474874135972,19143.96282049825,0,0,100,,428643745792.0,-494673.84375,165891.875,500,0.09752487531218751
6,396.1405804073557,4857096.769958529,9714193.539917057,11536540.462514818,1225.0088497887818,3483.7091254732227,0,84,100,193422.6875,316590784512.0,-167684.484375,-43179.515625,600,0.09703725093562657
7,395.64121927471746,4861436.8052335195,9722873.610467039,11526078.75962361,1217.861802509843,3441.461343496152,0,85,100,,153614155776.0,-209813.59375,-254225.15625,700,0.09655206468094843
8,393.12077975436745,4847325.810353231,9694651.620706461,11529834.710414808,1211.9370498606963,3466.2132637186746,0,86,100,578312.1875,33980833792.0,-380403.46875,-460138.125,800,0.09606930435754368
9,391.4469208183608,4850677.2510459,9701354.5020918,11531103.608796544,1220.6982746752817,3445.350388583698,0,88,100,,54107693056.0,-565891.75,-676675.25,900,0.09558895783575597
10,391.88385516471783,4854388.0308496365,9708776.061699273,11525681.593446217,1214.514042535507,3424.9748582438356,0,88,100,604510.125,102134710272.0,-626344.125,-779296.25,1000,0.09511101304657718
11,394.459004432172,4859706.8226451045,9719413.645290209,11514572.344049638,1214.9878135838906,3384.759808877716,0,86,100,,121859260416.0,-608816.0,-812649.75,1100,0.09463545798134429
12,393.5100251095605,4851231.070293227,9702462.140586454,11537804.663405323,1216.071945706916,3480.937464377192,0,86,100,405060.875,97621286912.0,-529474.625,-798282.4375,1200,0.09416228069143756
13,390.7188671999457,4852905.129703596,9705810.259407192,11531070.59316035,1212.5785514523845,3458.9476690847055,0,89,100,,70283116544.0,-407487.875,-749631.25,1300,0.09369146928798038
14,393.7296329247881,4853093.226533095,9706186.45306619,11528617.012110481,1219.0959681702313,3444.8323951917714,0,86,100,369319.71875,52068442112.0,-362290.3125,-675956.0625,1400,0.09322301194154048
15,391.7322347618215,4853010.650423101,9706021.300846202,11529510.066591196,1213.2262787632246,3452.772334479483,0,88,100,,32043794432.0,-362328.375,-575023.0625,1500,0.09275689688183278
16,394.3080167324954,4830300.513521156,9660601.027042313,11542930.006536383,1201.0165779699682,3520.9287033870787,0,83,100,501936.375,18163392512.0,-415751.375,-461362.4375,1600,0.09229311239742362
17,393.5102780944007,4860550.493148561,9721100.986297121,11532119.29826245,1219.1155886291808,3473.420224613132,0,87,100,,18999410688.0,-501733.28125,-396181.1875,1700,0.0918316468354365
18,394.48797115713154,4860497.2137299385,9720994.427459877,11539278.125923568,1228.393612540164,3496.2661135853978,0,86,100,666663.75,38183268352.0,-611269.8125,-371575.0625,1800,0.09137248860125932
19,394.4649461300762,4859876.741569535,9719753.48313907,11524550.500124346,1217.5286264341366,3430.5222848035855,0,86,100,,48134557696.0,-652898.9375,-373286.3125,1900,0.09091562615825302
20,392.4470755833253,4859947.1325880075,9719894.265176015,11534817.58002831,1218.0636491835048,3470.3464341851,0,88,100,637416.5,36130328576.0,-668068.25,-409762.25,2000,0.09046104802746176
21,394.0627692347269,4865620.71256426,9731241.42512852,11525189.969048485,1225.3998554017626,3445.43166930253,0,87,100,,32363773952.0,-640984.375,-471607.375,2100,0.09000874278732444
22,393.0675883772697,4865617.4337562695,9731234.867512539,11523953.274750907,1223.411398423865,3439.6412937540504,0,88,100,480014.84375,8387834368.0,-568327.625,-533410.5,2200,0.08955869907338782
23,394.57082907388644,4851596.5831202455,9703193.166240491,11529714.485680878,1212.8964823433153,3451.650166945291,0,85,100,,20466212864.0,-493902.6875,-587359.875,2300,0.08911090557802087
24,390.71703889591674,4862032.652851084,9724065.305702168,11513619.781720538,1219.9440518998292,3387.9167385326596,0,90,100,418327.875,33348870144.0,-436629.25,-600586.75,2400,0.08866535105013076
25,390.3104329569111,4858672.603219297,9717345.206438594,11535048.848192895,1220.0126675888348,3471.2093238694233,0,90,100,,23778189312.0,-422145.71875,-585733.0625,2500,0.08822202429488012
26,393.8164372373219,4863336.779882626,9726673.559765251,11523231.916628147,1221.6420011944888,3437.2332801886955,0,87,100,485066.75,14150240256.0,-434024.96875,-534891.3125,2600,0.08778091417340572
27,394.00080039611083,4846250.6023248015,9692501.204649603,11530749.568879351,1209.959979456382,3466.5827396372006,0,85,100,,10656360448.0,-491310.1875,-483033.71875,2700,0.0873420096025387
28,392.7546113938728,4853650.8017337145,9707301.603467429,11540530.961960424,1218.4899599916969,3530.5745646865093,0,87,100,600079.4375,20160110592.0,-564604.0625,-451493.4375,2800,0.086905299554526
29,389.7442118387714,4862644.090500543,9725288.181001086,11531402.879317107,1221.4208874305334,3447.668556444625,0,91,100,,16740890624.0,-595939.5,-448866.59375,2900,0.08647077305675337
30,394.5107094137665,4860483.990834489,9720967.981668979,11529705.982861347,1220.490092585325,3453.8720655038655,0,86,100,564769.0,10157953024.0,-598447.125,-471416.5625,3000,0.0860384191914696
31,393.1695588508182,4857307.880944234,9714615.761888469,11531075.332537513,1216.6038346166251,3455.0720165507473,0,87,100,,8973517824.0,-564614.125,-514631.9375,3100,0.08560822709551225
