episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,151.24188918788224,1816059.335625048,3632118.671250096,14381373.487295875,11.438822332823676,22078.53160156814,0,0,100,,,,,100,0.0995
2,144.9536284696676,1756043.2140976468,3512086.4281952935,14147318.68957778,10.618909556600602,19043.594100137343,0,0,100,,,,,200,0.09900250000000001
3,143.6138737774075,1749142.5118081083,3498285.0236162166,14672437.301483564,10.333504858881733,27383.064174694275,0,0,100,,,,,300,0.0985074875
4,120.2525651770437,1664329.393968383,3328658.787936766,13832422.613929274,9.613272717331961,14990.648509106895,0,15,100,,,,,400,0.09801495006250001
5,139.3651978195697,1705230.355102438,3410460.710204876,14197040.069513435,9.672474874135972,19143.96282049825,0,0,100,,5.057032585144043,-0.2860769033432007,-0.2518000900745392,500,0.09752487531218751
6,146.92632667263575,1766916.7349032671,3533833.4698065342,13902779.109656468,10.66634629206513,15843.39322092153,0,0,100,-0.05441217124462128,3.906466007232666,-0.1169113963842392,-0.08198103308677673,600,0.09703725093562657
7,152.46657795208952,2033363.0436933725,4066726.087386745,13404693.250209743,19.56913880139832,11744.651391355597,0,24,100,,3.3286192417144775,0.024203674867749214,0.06665924191474915,700,0.09655206468094843
8,174.18668487843036,2030815.6435461254,4061631.287092251,13463142.658341728,17.101410760449777,11984.795331248224,0,2,100,-0.12098897993564606,3.0290234088897705,0.1378423124551773,0.17975573241710663,800,0.09606930435754368
9,197.85506449699227,2230028.5060582515,4460057.012116503,13372172.453676922,26.407491670768145,11315.157457279427,0,0,100,,3.163473606109619,0.24935373663902283,0.2944977283477783,900,0.09558895783575597
10,188.50736118234454,2144059.2513126405,4288118.502625281,13418554.074496148,21.841097339345687,11578.733211865483,0,0,100,-0.19857695698738098,2.7508444786071777,0.3240867257118225,0.39781972765922546,1000,0.09511101304657718
11,218.44601471625177,2417108.6118725864,4834217.223745173,13093938.686066063,36.906302872356505,9287.742679910034,0,0,100,,2.772831916809082,0.422972172498703,0.5266908407211304,1100,0.09463545798134429
12,227.82558129900548,2504584.8889036374,5009169.777807275,13105664.960807776,46.06925411181826,9644.91013532187,0,0,100,-0.27683597803115845,2.9384989738464355,0.4346703290939331,0.5365764498710632,1200,0.09416228069143756
13,261.579266120593,2815676.8287004326,5631353.657400865,12838333.388606813,87.9847638435966,8197.68922890564,0,0,100,,3.29508900642395,0.5374439358711243,0.6470768451690674,1300,0.09369146928798038
14,243.34217536306224,2646917.404609419,5293834.809218838,12933253.560853304,66.07800312903547,8740.939071797453,0,0,100,-0.3771538734436035,3.453503131866455,0.5984152555465698,0.694874107837677,1400,0.09322301194154048
15,284.63629274449295,3177505.4642358874,6355010.928471775,12544503.036797052,197.13530030461436,7120.98861214112,0,16,100,,3.570340156555176,0.6408007740974426,0.7498511075973511,1500,0.09275689688183278
16,275.860141480169,2947702.9020988243,5895405.804197649,12692934.42729733,131.49102118337873,7806.237010547643,0,0,100,-0.4623340666294098,4.202259063720703,0.7476966381072998,0.8648481369018555,1600,0.09229311239742362
17,301.64944006187335,3334616.587750811,6669233.175501622,12408861.294692757,246.63420889911154,6534.388929848403,0,16,100,,4.7083635330200195,0.7765687108039856,0.9181137681007385,1700,0.0918316468354365
18,284.58693469240404,3028304.8804984074,6056609.760996815,12627191.57395952,150.53333478888354,7410.295675621082,0,0,100,-0.5789799690246582,5.633725643157959,0.7823662757873535,0.9179633259773254,1800,0.09137248860125932
19,316.63028392791557,3603758.017702186,7207516.035404372,12177443.535049634,383.0127631278392,5736.193959241437,0,30,100,,4.151796340942383,0.929344892501831,1.0739203691482544,1900,0.09091562615825302
20,324.6511132865932,3585295.2496815785,7170590.499363157,12203278.295899782,378.1293170737107,5875.167460550235,0,20,100,-0.7524306178092957,4.590425491333008,1.0015262365341187,1.138498306274414,2000,0.09046104802746176
21,331.1995024694193,3729305.1346788895,7458610.269357779,12053248.455956588,471.9393181672996,5357.549133850069,0,29,100,,4.3748087882995605,1.0149612426757812,1.1713342666625977,2100,0.09000874278732444
22,326.48795018650253,3563908.311846794,7127816.623693588,12158089.412619608,364.8944010237685,5576.618515188373,0,16,100,-0.9028804302215576,4.960948944091797,1.1572206020355225,1.336134910583496,2200,0.08955869907338782
23,334.9071037386895,3782973.5347508984,7565947.069501797,11967343.024981199,607.979948186171,5202.8914891402765,0,31,100,,5.976908206939697,1.175760269165039,1.3170875310897827,2300,0.08911090557802087
24,349.99234494521005,3949888.2505111843,7899776.501022369,11827462.835744597,657.233348845528,4652.953556905831,0,34,100,-1.0134751796722412,5.077320098876953,1.136373519897461,1.314437985420227,2400,0.08866535105013076
25,349.40655318043486,3926175.977340358,7852351.954680716,11845979.949134583,669.1990526861396,4792.058681625905,0,32,100,,5.241368770599365,1.1297041177749634,1.291820764541626,2500,0.08822202429488012
26,362.61833643093416,4095530.461881065,8191060.92376213,11735555.586836498,758.3095000157675,4465.717735592485,0,37,100,-1.2937208414077759,4.635769844055176,1.2361820936203003,1.4148305654525757,2600,0.08778091417340572
27,360.315865262303,4093033.379676853,8186066.759353706,11772079.195092676,731.7117733290127,4521.574370054059,0,39,100,,6.333884239196777,1.41669499874115,1.6415858268737793,2700,0.0873420096025387
28,356.62246730732113,4085794.2028428633,8171588.405685727,11725291.358240765,749.3850911511695,4482.869476326561,0,42,100,-1.5076758861541748,5.314377784729004,1.4400910139083862,1.636854648590088,2800,0.086905299554526
29,360.95148885591715,4135825.8586045178,8271651.7172090355,11704574.577796493,779.7335047456203,4314.684828078857,0,43,100,,4.83164644241333,1.4004132747650146,1.5876399278640747,2900,0.08647077305675337
