episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,151.24188918788224,1816059.335625048,3632118.671250096,14381373.487295875,11.438822332823676,22078.53160156814,0,0,100,,,,,100,0.0995
2,144.9536284696676,1756043.2140976468,3512086.4281952935,14147318.68957778,10.618909556600602,19043.594100137343,0,0,100,,,,,200,0.09900250000000001
3,143.6138737774075,1749142.5118081083,3498285.0236162166,14672437.301483564,10.333504858881733,27383.064174694275,0,0,100,,,,,300,0.0985074875
4,120.2525651770437,1664329.393968383,3328658.787936766,13832422.613929274,9.613272717331961,14990.648509106895,0,15,100,,,,,400,0.09801495006250001
5,139.3651978195697,1705230.355102438,3410460.710204876,14197040.069513435,9.672474874135972,19143.96282049825,0,0,100,,4.186380863189697,-0.8006924986839294,0.2810346782207489,500,0.09752487531218751
6,220.77412862010542,2633006.9010143583,5266013.802028717,14045998.33614938,141.38665372090057,21120.854787005614,0,19,100,0.051041409373283386,2.9719667434692383,-0.2950948178768158,0.611264705657959,600,0.09703725093562657
7,133.3475953955601,1659775.2930478766,3319550.586095753,15816659.1804338,9.015909037338064,70191.76679009697,0,0,100,,1.6113250255584717,0.14936870336532593,0.7574372291564941,700,0.09655206468094843
8,141.5032974324619,1729291.8543503452,3458583.7087006904,15139798.144850614,9.996297349645742,36565.54555387083,0,0,100,-0.21479292213916779,1.5734647512435913,0.4709852337837219,0.8362467885017395,800,0.09606930435754368
9,137.87410795528592,1697156.5812949464,3394313.1625898927,15275506.786702821,9.520901694841129,40154.47690224946,0,0,100,,1.0738893747329712,0.8409541845321655,0.9403533935546875,900,0.09558895783575597
10,133.03054171212221,1655687.1968926745,3311374.393785349,15636610.306830695,8.949443060523077,53094.6495560417,0,0,100,-0.34641802310943604,1.1651203632354736,1.012056827545166,0.9212777614593506,1000,0.09511101304657718
11,117.69072989810847,1713475.969009129,3426951.938018258,16315245.510606222,10.193556146854087,108808.04404494594,0,21,100,,1.2333076000213623,1.0198512077331543,0.9049972295761108,1100,0.09463545798134429
12,136.11644896303667,1682789.9754312248,3365579.9508624496,15464041.642282622,9.48742414781028,46239.721083496726,0,0,100,-0.42688363790512085,1.0780258178710938,0.866580605506897,0.7335127592086792,1200,0.09416228069143756
13,133.84409923055154,1806998.8859860247,3613997.7719720495,15160601.122615516,13.121277324031116,37969.24818091215,0,16,100,,1.035454511642456,0.870353639125824,0.6731356382369995,1300,0.09369146928798038
14,122.62648574678059,1817457.3982566772,3634914.7965133544,15505573.048447402,13.30390391303396,48432.28054546045,0,28,100,-0.4615606367588043,0.9406466484069824,0.8158345818519592,0.6558441519737244,1400,0.09322301194154048
15,138.85340683806817,2012106.31398497,4024212.62796994,15234325.00675455,22.64391834176604,40618.641104166956,0,33,100,,0.9657236933708191,0.7287578582763672,0.6325988173484802,1500,0.09275689688183278
16,120.9333103333675,2018489.4531478349,4036978.9062956697,15773624.65928378,22.839020914703337,58227.47295188991,0,51,100,-0.48246079683303833,0.8947855234146118,0.7036162614822388,0.6751270890235901,1600,0.09229311239742362
17,135.86706104052908,2164314.7240306023,4328629.4480612045,15460651.07713609,33.93817846645472,46792.93229829988,0,52,100,,1.0228676795959473,0.629021942615509,0.6519126892089844,1700,0.0918316468354365
18,133.71067257641116,2278929.9910985716,4557859.982197143,15864852.804411985,40.54951255286707,62466.82242498242,0,66,100,-0.519731879234314,0.8309478163719177,0.5956215858459473,0.6659424304962158,1800,0.09137248860125932
19,152.97134889121946,2401280.0782238534,4802560.156447707,15720053.420265198,51.20179068327659,60170.88185664986,0,60,100,,0.9881618022918701,0.5937427282333374,0.698448657989502,1900,0.09091562615825302
20,148.34674427974798,2366508.373189168,4733016.746378336,15623456.329259437,49.60982956579929,54729.63899101727,0,61,100,-0.601869523525238,0.7581757307052612,0.5769051909446716,0.7215732932090759,2000,0.09046104802746176
21,183.07132557392393,2805647.2006700095,5611294.401340019,15894059.60559507,76.0009851757291,78315.85828414801,0,73,100,,0.7220548391342163,0.5290691256523132,0.696892499923706,2100,0.09000874278732444
22,180.9406274814568,2785922.7690651305,5571845.538130261,15920407.922185654,74.41714568084676,77284.61553652756,0,73,100,-0.7393765449523926,0.8590196371078491,0.6751589775085449,0.8228022456169128,2200,0.08955869907338782
23,191.7657858489052,2910316.9509406434,5820633.901881287,15512255.734181661,88.48448407447405,61176.010629925935,0,76,100,,0.7943920493125916,0.6946930289268494,0.8485180735588074,2300,0.08911090557802087
24,195.7550254969603,2928554.9895486315,5857109.979097263,15497623.060144816,91.38629020378649,65104.611650727464,0,74,100,-0.9450629353523254,0.7440600991249084,0.7046154737472534,0.8239368796348572,2400,0.08866535105013076
25,204.75167070652296,3056341.064773458,6112682.129546916,15172527.80111244,108.65174014707853,56058.00080068302,0,79,100,,0.7564859986305237,0.7852872610092163,0.837052583694458,2500,0.08822202429488012
26,200.71592342935452,3011168.5861456925,6022337.172291385,15373284.790681385,99.94386139353279,62632.12351510046,0,78,100,-1.0990092754364014,0.6745326519012451,0.7963784337043762,0.842917263507843,2600,0.08778091417340572
27,204.1308440685735,3049047.649999859,6098095.299999718,15028741.209811319,112.48715864026025,50180.5457718412,0,79,100,,0.6802664995193481,1.0131999254226685,1.014701247215271,2700,0.0873420096025387
28,214.5174039387381,3164296.4223614265,6328592.844722853,15000913.15557526,121.2730769609206,54173.98784465653,0,81,100,-1.292954444885254,0.7645677328109741,1.007683515548706,0.9942868947982788,2800,0.086905299554526
29,218.5815765082928,3229286.7060798598,6458573.4121597195,14864345.837455776,128.92630388712973,50344.7843769405,0,84,100,,0.7414786219596863,0.966597318649292,0.9405946731567383,2900,0.08647077305675337
