episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,151.24188918788224,1816059.335625048,3632118.671250096,14381373.487295875,11.438822332823676,22078.53160156814,0,0,100,,,,,100,0.0995
2,144.9536284696676,1756043.2140976468,3512086.4281952935,14147318.68957778,10.618909556600602,19043.594100137343,0,0,100,,,,,200,0.09900250000000001
3,143.6138737774075,1749142.5118081083,3498285.0236162166,14672437.301483564,10.333504858881733,27383.064174694275,0,0,100,,,,,300,0.0985074875
4,120.2525651770437,1664329.393968383,3328658.787936766,13832422.613929274,9.613272717331961,14990.648509106895,0,15,100,,,,,400,0.09801495006250001
5,139.3651978195697,1705230.355102438,3410460.710204876,14197040.069513435,9.672474874135972,19143.96282049825,0,0,100,,,,,500,0.09752487531218751
6,149.51851420392615,1797810.016258606,3595620.032517212,14174324.767539322,11.175881935709802,19613.84403284298,0,0,100,,,,,600,0.09703725093562657
7,150.32115244312507,1804613.7909266718,3609227.5818533436,14097399.66384964,11.282128402214816,18490.24319107574,0,0,100,,,,,700,0.09655206468094843
8,147.17592948473973,1778145.11495598,3556290.22991196,14304626.72545955,10.806313377476359,21502.23835458848,0,0,100,,,,,800,0.09606930435754368
9,139.80795721697515,1714352.077488692,3428704.154977384,14760069.678067777,9.806294916070863,29534.120671723802,0,0,100,,,,,900,0.09558895783575597
10,167.3472549232722,1959793.2890627228,3919586.5781254456,13958034.421180574,14.994778798317888,17710.360261754267,0,0,100,0.16581882536411285,3.9377503395080566,-0.7858984470367432,,1000,0.09511101304657718
11,131.74621186642966,1646771.7457127578,3293543.4914255156,16013500.966548,8.834307602347916,75865.74118701773,0,0,100,0.007290269713848829,2.1089868545532227,-0.24839003384113312,,1100,0.09463545798134429
12,102.73959468561345,1609737.7528749057,3219475.5057498114,14859322.16937754,8.408063268221799,30735.617456593016,0,26,100,-0.1257462203502655,0.9510994553565979,0.19814389944076538,,1200,0.09416228069143756
13,112.76617859505785,1662984.5238248885,3325969.047649777,14647437.112250865,9.279647845851153,26942.1116957868,0,22,100,-0.2603377103805542,0.49448710680007935,0.586836576461792,,1300,0.09369146928798038
14,95.37793524232545,1686032.01351439,3372064.02702878,14552610.82568832,10.016599592005736,26631.91353696603,0,42,100,-0.3955253064632416,0.3165518045425415,1.026991605758667,,1400,0.09322301194154048
15,99.6266880115611,1924212.4142552326,3848424.828510465,14170086.144692745,18.713209851949234,22135.15044139185,0,64,100,-0.49934184551239014,0.5005784630775452,1.1966075897216797,,1500,0.09275689688183278
16,116.74763159373289,2071458.3467851598,4142916.6935703196,13962795.178179534,27.69481358188131,19107.26132298842,0,63,100,-0.57579106092453,0.6570180654525757,1.4503672122955322,,1600,0.09229311239742362
17,145.0609336148007,2476664.3629072867,4953328.7258145735,13384804.943112893,67.73875523545433,15135.420430582513,0,79,100,-0.6434543132781982,0.5041022300720215,1.3059322834014893,,1700,0.0918316468354365
18,145.73259837913565,2492551.374303056,4985102.748606112,13377893.935896195,69.01991311405675,14967.295610705856,0,80,100,-0.6482439637184143,0.4335867166519165,1.2604480981826782,,1800,0.09137248860125932
19,67.0734817262092,1830860.7857306525,3661721.571461305,15346809.43779278,13.898668314145816,41986.8085942605,0,85,100,-0.6966650485992432,0.3097783029079437,1.1144217252731323,,1900,0.09091562615825302
20,139.59042370620105,2484146.7240455747,4968293.448091149,13519148.547073048,64.61365952097877,16293.643738590383,0,85,100,-0.6429072618484497,0.3042975962162018,1.025123119354248,,2000,0.09046104802746176
21,113.17301563664591,2308718.839945627,4617437.679891254,16148272.312094362,41.54515816900812,81069.5842064254,0,89,100,-0.6157863140106201,0.3229781985282898,0.9285279512405396,,2100,0.09000874278732444
22,138.69775575019992,2504708.853581561,5009417.707163122,13593964.223956406,58.47940416856778,16282.032402575293,0,88,100,-0.6664689183235168,0.3791581392288208,0.8234462141990662,,2200,0.08955869907338782
23,136.9348327881202,2540246.11457907,5080492.22915814,16142107.75526573,57.32693249799803,85708.85967777383,0,90,100,-0.6658511757850647,0.386574923992157,0.7644797563552856,,2300,0.08911090557802087
24,130.33198292166077,2440581.943700829,4881163.887401658,13932828.398490047,49.05722680853078,19140.39968010622,0,89,100,-0.6954951286315918,0.42539915442466736,0.740256130695343,,2400,0.08866535105013076
25,120.45367990843985,2376423.200879177,4752846.401758354,14591393.61507419,48.88624933875706,27236.751133018486,0,91,100,-0.8029154539108276,0.2893512547016144,0.7801031470298767,,2500,0.08822202429488012
26,155.88611143283725,2723154.3900102037,5446308.780020407,15798469.790401606,74.42117252311728,74290.16799855237,0,91,100,-0.8927652835845947,0.3152161240577698,0.7849458456039429,,2600,0.08778091417340572
27,161.5723251517322,2774206.2281209296,5548412.456241859,15604907.637879144,81.10759450460888,65077.22889483051,0,91,100,-1.0234169960021973,0.2912329137325287,0.8435550928115845,,2700,0.0873420096025387
28,158.9725222564398,2749586.9820434703,5499173.9640869405,14876951.731354404,87.42655130640746,37086.056274191586,0,92,100,-1.191131353378296,0.312826544046402,0.9503098726272583,,2800,0.086905299554526
29,171.1489912188494,2865152.092527107,5730304.185054214,14980695.720648967,101.34993498651127,45008.36534911659,0,92,100,-1.245380163192749,0.2590354084968567,1.0126043558120728,,2900,0.08647077305675337
30,165.86449649162532,2818249.220753514,5636498.441507028,14436636.737456635,93.13224285603839,26932.570527532444,0,93,100,-1.3589175939559937,0.30459317564964294,1.019288182258606,,3000,0.0860384191914696
31,158.78172303296162,2751885.8082482517,5503771.616496503,14445728.961913178,82.6299332524855,26986.150082434964,0,93,100,-1.3862273693084717,0.24831493198871613,1.0919978618621826,,3100,0.08560822709551225
