episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,113.35609448526577,1598534.5686699087,3197069.1373398174,14516663.658986928,8.265141452899929,24022.54268019951,0,14,100,,,,,100,
2,138.96505084719945,1699152.5075631812,3398305.0151263624,13981404.927603263,9.75681362445224,18423.358023405563,0,0,100,,,,,200,
3,165.94363888799683,1940030.8454729575,3880061.690945915,13440553.259690415,13.871672357254205,12803.659417495686,0,0,100,,,,,300,
4,140.35515342175796,1723420.339159092,3446840.678318184,15133649.119512176,9.92988445939238,37682.87936139433,0,0,100,,,,,400,
5,121.08980250525366,1618871.871900717,3237743.743801434,14995961.88416007,8.510151171908321,34316.054605280144,0,8,100,,,,,500,
6,177.19576368142,2035709.6913142211,4071419.3826284423,12853417.28102275,16.219522042035813,10631.955850495773,0,0,100,,,,,600,
7,214.18924470945493,2384054.429165687,4768108.858331374,13273763.467301691,36.18961333659548,12050.107149408872,0,0,100,,,,,700,
8,146.8385280446026,1772457.0250656484,3544914.0501312967,14050209.735416435,10.725845464984957,17463.935069062612,0,0,100,,,,,800,
9,173.83437692858115,2005210.897760918,4010421.795521836,12818467.444694785,15.230781445795003,7965.816311371559,0,0,100,,,,,900,
10,154.13507050449758,1840666.9903796795,3681333.980759359,14180821.011467133,11.87781341566713,19700.954013082777,0,0,100,-2.233220338821411,27.259082794189453,-0.19906069338321686,-0.15097232162952423,1000,
11,112.17347621017383,1570944.9471812544,3141889.894362509,14924516.913204782,7.870390551536916,31321.65466330335,0,12,100,-2.6010401248931885,20.312091827392578,0.3214211165904999,0.2655962109565735,1100,
12,117.03590447189299,1605727.6375997034,3211455.275199407,15961907.034422992,8.327708896272128,66717.74216302484,0,10,100,-2.9434516429901123,14.633464813232422,0.7922279238700867,0.6805075407028198,1200,
13,178.61761889304876,2064682.8123859102,4129365.6247718204,14172008.608179433,18.500606488260864,20079.41974674359,0,0,100,-3.3483262062072754,10.950542449951172,1.187074899673462,1.1722391843795776,1300,
14,138.429808789697,1692500.169054076,3385000.338108152,13939743.841711648,9.622493670078569,16261.383215087852,0,0,100,-3.734466075897217,7.661965847015381,1.678329586982727,1.542514443397522,1400,
15,122.01191353546754,1684034.2126038189,3368068.4252076377,14430681.601083841,9.855162130340563,23965.459351632897,0,15,100,-4.109158515930176,5.285881996154785,2.0513312816619873,1.9586265087127686,1500,
16,115.84298018227865,1555549.108983458,3111098.217966916,14555808.313829854,7.663083297082311,25235.287359146347,0,7,100,-4.447267532348633,3.2042994499206543,2.499992609024048,2.3306519985198975,1600,
17,129.33739086913513,1623051.6797099463,3246103.3594198925,15477230.793798473,8.514946581464152,49730.87392655704,0,0,100,-4.952496528625488,2.5748884677886963,2.7511143684387207,2.5851306915283203,1700,
18,117.36373127910191,1590625.6032597402,3181251.2065194803,14860650.657683361,8.129094938858612,31107.99377691997,0,9,100,-5.306868553161621,2.286616802215576,3.4840826988220215,3.242928981781006,1800,
19,102.77393373237759,1554007.1684945105,3108014.336989021,14426556.935522052,7.671312840768508,24163.450023271937,0,20,100,-5.570056915283203,2.29909086227417,3.673921823501587,3.5378880500793457,1900,
20,107.54902436776483,1551631.5319697345,3103263.063939469,14378712.552347014,7.613099250983793,22791.00302904439,0,15,100,-5.8140788078308105,2.8159546852111816,4.011730670928955,3.860328435897827,2000,
21,99.991697567606,1552117.9316359726,3104235.863271945,15028359.819375688,7.640097688919601,35091.83879705834,0,22,100,-5.696898937225342,2.4617068767547607,3.929121255874634,3.806377649307251,2100,
22,141.09458030891045,1766730.4265404716,3533460.853080943,15256562.794276807,10.747378629301952,45501.681705857736,0,4,100,-5.695841312408447,2.6349000930786133,4.010480880737305,3.8865673542022705,2200,
23,108.67380221965063,1572905.6900869054,3145811.3801738108,14557437.888040693,7.902437647209736,25591.83350117092,0,16,100,-5.669295787811279,2.603591203689575,4.036985874176025,3.9947783946990967,2300,
24,98.14775520859688,1579622.3921766437,3159244.7843532874,15929411.746926058,8.060003158739885,70596.40728358139,0,26,100,-5.559550762176514,2.1844124794006348,3.8180041313171387,3.7103168964385986,2400,
25,134.2472255345639,1689932.1812512695,3379864.362502539,14756644.850376284,9.546572382977455,29654.265558541738,0,3,100,-5.568990707397461,2.0793488025665283,3.6920063495635986,3.667454481124878,2500,
26,121.22424450662406,1613818.5491711996,3227637.098342399,15536806.834264975,8.411325002959918,52866.630023206395,0,7,100,-5.439265251159668,2.079680919647217,3.5857326984405518,3.5394721031188965,2600,
27,101.75767750717164,1622430.5828569639,3244861.1657139277,14860702.253412852,8.642461640978317,32031.227377686453,0,28,100,-5.329082489013672,1.6725962162017822,3.434389114379883,3.4150195121765137,2700,
28,114.8777025493059,1564468.6922722862,3128937.3845445723,14378571.326037338,7.792011962554978,21692.99372021057,0,9,100,-5.24344539642334,1.4849765300750732,3.1313259601593018,3.1875386238098145,2800,
