episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,202.31426516830925,2275056.209537407,4550112.419074814,13314570.319286807,26.540652129520403,10848.875262981872,0,0,100,,,,,100,0.0995
2,181.09972940195118,2082387.2051425872,4164774.4102851744,13568811.986316817,20.328905915635026,12852.875820548441,0,0,100,,,,,200,0.09900250000000001
3,168.39566912557692,1960351.092178503,3920702.184357006,13211419.927691713,14.223502694170934,9993.259943542489,0,0,100,,,,,300,0.0985074875
4,136.65415242884265,1691399.2523060443,3382798.5046120887,15338536.348030968,9.467845661780235,43988.10995269042,0,0,100,,,,,400,0.09801495006250001
5,174.14123232807304,2045180.4748406657,4090360.9496813314,12905317.70525391,16.789133636435643,10247.810476563734,0,4,100,,,,,500,0.09752487531218751
6,159.53722576898713,1884112.6763009476,3768225.352601895,13637967.88154012,12.737668596044672,13656.232502706398,0,0,100,,,,,600,0.09703725093562657
7,111.64765472934538,1637237.8639675048,3274475.7279350096,14480076.659852225,8.78216838683659,23132.07943599237,0,20,100,,,,,700,0.09655206468094843
8,148.29740244850288,1788213.1076119402,3576426.2152238805,14200799.435915919,11.883927881023086,19106.240089746418,0,0,100,,,,,800,0.09606930435754368
9,143.39027707639013,1742826.4662887738,3485652.9325775476,14251149.1419615,10.240580326921418,19875.00730713686,0,0,100,,,,,900,0.09558895783575597
10,171.85059994690576,2006194.0476795316,4012388.0953590632,14371145.712460302,19.56607641438622,23224.658020076724,0,0,100,,4.022479057312012,0.7476481795310974,0.09983427822589874,1000,0.09511101304657718
11,191.4145234145181,2173304.017892324,4346608.035784648,13500900.448821083,35.071887958913145,12648.34663687268,0,0,100,-0.4151318669319153,2.6687405109405518,1.0025444030761719,0.43758904933929443,1100,0.09463545798134429
12,198.17483035531484,2235369.8518336955,4470739.703667391,13414435.23305028,49.70841638652603,11898.064815796599,0,0,100,,1.8795071840286255,1.3229025602340698,0.8144048452377319,1200,0.09416228069143756
13,211.05246930582203,2356104.4972533053,4712208.994506611,13414677.372080231,93.74281090181752,12341.442498529128,0,0,100,-0.5603281259536743,1.5684382915496826,1.4546434879302979,1.0838031768798828,1300,0.09369146928798038
14,266.08563754768807,3088115.2262878097,6176230.452575619,12800641.998141304,392.06447632114543,9269.250516680504,0,24,100,,1.982864499092102,1.4396802186965942,1.3374418020248413,1400,0.09322301194154048
15,269.32357564018685,3068231.3327269177,6136462.665453835,12660633.011157816,341.8564111617896,8217.60121224338,0,19,100,-0.7802055478096008,2.371656894683838,1.6492462158203125,1.757791519165039,1500,0.09275689688183278
16,299.0092796141863,3448895.7063624174,6897791.412724835,12577880.59773634,505.0735139743007,8080.219916968635,0,30,100,,2.8297877311706543,1.5729948282241821,1.776134729385376,1600,0.09229311239742362
17,291.56572774420454,3368526.6470087087,6737053.294017417,12521308.597050466,470.2535393568196,7666.400302820179,0,29,100,-1.150245189666748,3.157346248626709,1.80263352394104,2.1183202266693115,1700,0.0918316468354365
18,317.36867554627224,3692483.917088032,7384967.834176064,12325567.83540254,608.1556310406138,6790.6150437359665,0,38,100,,3.0399630069732666,1.7951771020889282,2.0206305980682373,1800,0.09137248860125932
19,314.05749753024344,3623462.7071972163,7246925.414394433,12351382.571470939,558.3841837924398,6707.965735153196,0,34,100,-1.5428338050842285,2.6431522369384766,1.8179831504821777,2.016308069229126,1900,0.09091562615825302
20,338.1595298177787,3940742.89932994,7881485.79865988,12123446.59099633,707.8173922682232,5931.184225613551,0,44,100,,2.5495200157165527,1.834750771522522,1.9235998392105103,2000,0.09046104802746176
21,336.43061123210134,3906470.637783774,7812941.275567548,12200809.343341436,685.0138882474471,6247.444250573953,0,42,100,-2.319547653198242,2.7765049934387207,2.3039846420288086,2.351167678833008,2100,0.09000874278732444
22,353.4699974986918,4185618.5855127024,8371237.171025405,11973669.53816431,821.8238497114285,5292.656883161281,0,55,100,,2.558913230895996,1.9287418127059937,1.864662528038025,2200,0.08955869907338782
23,345.4208491736112,4000317.440868262,8000634.881736524,12237756.053674845,696.5814409520359,6366.86844620509,0,43,100,-2.7403597831726074,2.235865592956543,2.191441297531128,2.057004928588867,2300,0.08911090557802087
24,356.8693587739978,4226996.180051328,8453992.360102655,11957818.414853353,846.4688952166503,5208.899680347362,0,56,100,,2.164924144744873,2.4949140548706055,2.304777145385742,2400,0.08866535105013076
25,360.19755673123177,4248161.773513608,8496323.547027215,11967799.64021381,830.7183688104556,5280.112544536716,0,55,100,-3.06415057182312,2.457076072692871,2.2779488563537598,2.112196445465088,2500,0.08822202429488012
26,369.21212821719564,4406331.536482333,8812663.072964666,11807590.127484115,920.064976178713,4533.341360284175,0,63,100,,2.1548285484313965,2.3119661808013916,2.126591920852661,2600,0.08778091417340572
27,371.60799055567503,4401809.038379958,8803618.076759916,11881094.271396512,914.5656414906705,4877.948955699537,0,60,100,-3.187288999557495,2.05259370803833,2.2905921936035156,2.193431854248047,2700,0.0873420096025387
28,373.9061946817036,4488161.834309162,8976323.668618323,11768671.012378616,968.653223165657,4402.354170925792,0,67,100,,2.1967859268188477,2.2622859477996826,2.193490505218506,2800,0.086905299554526
29,378.32047906582187,4519974.53915936,9039949.07831872,11769033.19577286,974.6316942775873,4403.086393924166,0,66,100,-3.0787353515625,2.6105079650878906,2.089479923248291,2.095134973526001,2900,0.08647077305675337
30,382.3112032287599,4567110.463999804,9134220.927999608,11765346.006799605,994.0044910232705,4350.784033211627,0,67,100,,2.0844316482543945,2.489428997039795,2.5783491134643555,3000,0.0860384191914696
31,382.884199299837,4563088.548283033,9126177.096566066,11766710.638214812,993.2111100010744,4356.306325932911,0,66,100,-3.1602766513824463,2.133680820465088,2.1601998805999756,2.2630887031555176,3100,0.08560822709551225
32,386.3036143298456,4642198.037130737,9284396.074261473,11699528.391181974,1051.3239284272524,4161.025202821604,0,71,100,,2.3768067359924316,2.114159345626831,2.1696584224700928,3200,0.08518018596003468
33,383.8761300334058,4609219.538906633,9218439.077813266,11701145.728888001,1022.1129576283099,4107.473685308421,0,70,100,-3.4244027137756348,2.0482442378997803,2.212167501449585,2.275095224380493,3300,0.08475428503023451
34,388.9923200265305,4695397.883350547,9390795.766701095,11656079.605424045,1079.0558063006604,3939.6534523711352,0,74,100,,2.0659685134887695,2.4706687927246094,2.45296573638916,3400,0.08433051360508334
35,389.1137345374872,4668590.705047086,9337181.410094172,11689615.877850745,1062.9883574149362,4089.670065618112,0,71,100,-3.821624279022217,2.128523349761963,2.543674945831299,2.455339193344116,3500,0.08390886103705793
36,391.2901209479853,4726585.036763612,9453170.073527224,11646360.94168746,1108.4400532029865,3933.1086527500715,0,75,100,,2.3252639770507812,2.877509593963623,2.7779343128204346,3600,0.08348931673187264
37,387.817720914156,4740162.049208451,9480324.098416902,11595070.817486415,1110.855628223202,3725.011382511276,0,80,100,-3.9995057582855225,2.3999223709106445,2.617770195007324,2.500699043273926,3700,0.08307187014821328
38,393.7058400264504,4795980.350017671,9591960.700035341,11584821.971679673,1159.1487688690834,3718.842094606288,0,80,100,,2.3017983436584473,2.6303904056549072,2.5331358909606934,3800,0.08265651079747222
39,393.83432760740044,4787385.639107624,9574771.278215248,11575825.457614815,1145.7526359537646,3651.3351875787116,0,79,100,-4.005489349365234,2.1367130279541016,2.6021535396575928,2.5501677989959717,3900,0.08224322824348486
40,393.55878936512374,4822847.4454496885,9645694.890899377,11549518.325851737,1180.9346108631094,3570.6985670565355,0,83,100,,2.067751407623291,3.042712688446045,3.0085532665252686,4000,0.08183201210226744
41,394.7175100443911,4814738.8833519425,9629477.766703885,11562987.277194865,1164.941291739662,3618.5440005544865,0,81,100,-4.053232669830322,1.8172067403793335,2.83686900138855,2.8352255821228027,4100,0.0814228520417561
42,394.14329515390745,4828512.926444477,9657025.852888955,11550202.201057173,1188.3958642620146,3568.6201831280605,0,83,100,,2.349092483520508,2.7861075401306152,2.8311715126037598,4200,0.08101573778154732
43,395.3460338852953,4830727.032359018,9661454.064718036,11566277.178531831,1195.3729748507901,3627.9489955120494,0,82,100,-4.029365539550781,2.224116325378418,2.742382049560547,2.7420217990875244,4300,0.08061065909263958
44,396.071182954753,4846942.794800691,9693885.589601383,11549169.516389133,1212.240861457976,3565.839325933195,0,83,100,,2.0985989570617676,3.012576103210449,2.9967939853668213,4400,0.08020760579717638
45,395.4935055799222,4860153.552692621,9720307.105385242,11535063.883591305,1218.7646520015987,3521.5912453712895,0,85,100,-4.075156211853027,1.9005463123321533,2.9786181449890137,2.9223477840423584,4500,0.0798065677681905
46,395.07150601851015,4865569.6416811785,9731139.283362357,11525427.781069942,1225.2374683988344,3476.865799451571,0,86,100,,1.8316950798034668,3.080936908721924,3.009516477584839,4600,0.07940753492934956
47,396.7987058823999,4853856.86203739,9707713.72407478,11546225.46590347,1216.831844896268,3568.72382683555,0,83,100,-4.191452503204346,2.0291013717651367,3.1272263526916504,3.0529682636260986,4700,0.07901049725470281
48,396.6119168241591,4861478.857418266,9722957.714836532,11536452.385222767,1229.3815565462648,3544.093674540267,0,84,100,,1.7522608041763306,3.1935276985168457,3.1599957942962646,4800,0.0786154447684293
49,397.75713959897035,4872214.0086191585,9744428.017238317,11525137.676565193,1237.704116344953,3474.8332569723298,0,84,100,-4.373926162719727,1.9100438356399536,3.0747342109680176,3.068915367126465,4900,0.07822236754458715
50,398.9426137877872,4874182.150196402,9748364.300392805,11538583.96522666,1244.2501553152838,3562.125931904111,0,83,100,,1.6428560018539429,3.2165393829345703,3.256110429763794,5000,0.07783125570686422
51,397.1075890148764,4866106.196072328,9732212.392144656,11532202.112381661,1233.100781144691,3514.265684219933,0,84,100,-4.162450790405273,1.8415800333023071,3.066972017288208,3.111422538757324,5100,0.0774420994283299
52,395.21544776794065,4886002.2224559905,9772004.444911981,11530593.014244117,1253.812206855738,3562.6142102731205,0,88,100,,1.8530802726745605,3.157062292098999,3.180798292160034,5200,0.07705488893118825
53,396.1930003143132,4885948.820588692,9771897.641177384,11534829.341251943,1256.4319955458543,3576.016501457055,0,87,100,-4.2077202796936035,1.8469455242156982,2.9172449111938477,2.91510009765625,5300,0.07666961448653231
54,393.28805370327746,4877340.410038205,9754680.82007641,11520168.354761075,1257.1733907324822,3507.472738127287,0,89,100,,1.6076327562332153,3.2500555515289307,3.2090237140655518,5400,0.07628626641409965
55,395.69852889372476,4890618.360736334,9781236.721472668,11513228.512032485,1261.390406493132,3469.5196498269825,0,88,100,-4.156755447387695,1.8511226177215576,3.249272346496582,3.1839053630828857,5500,0.07590483508202915
56,396.00929983622717,4893620.414303238,9787240.828606475,11528598.786627581,1266.472764119979,3525.4765260410636,0,88,100,,1.3354424238204956,3.2735230922698975,3.238323926925659,5600,0.075525310906619
57,396.3354355429103,4887173.022987199,9774346.045974398,11514367.505694594,1261.8342285842064,3462.636197456124,0,87,100,-4.218756675720215,1.6706594228744507,3.195488214492798,3.198349952697754,5700,0.07514768435208591
58,394.33175282252324,4877931.52954041,9755863.05908082,11534704.830990873,1258.1608801917196,3545.400954722508,0,88,100,,2.065092086791992,2.947373628616333,2.942962169647217,5800,0.07477194593032548
