scenario_id,method,mean_rate_bps,mean_rate_mbps,std_rate_bps,std_rate_mbps,sample_count,rank
eval_0,SAC,4759379.454,4.759379454,42375.1570252,0.0423751570252,3,1
eval_0,TD3,4477472.25748,4.47747225748,503081.087067,0.503081087067,3,2
eval_0,DDPG,4110568.8883,4.1105688883,1045537.55862,1.04553755862,3,3
eval_0,BalancedLinkPolicy,3943717.71544,3.94371771544,0,0,1,4
eval_0,MidpointPolicy,3714326.86263,3.71432686263,0,0,1,5
eval_0,GreedyRatePolicy,2415220.40918,2.41522040918,0,0,1,6
eval_0,HorizontalMidpointPolicy,2041900.13982,2.04190013982,0,0,1,7
eval_0,RandomPolicy,1796106.19705,1.79610619705,0,0,1,8
eval_0,StaticRelayPolicy,1746559.40431,1.74655940431,0,0,1,9
eval_1,GreedyRatePolicy,5155250.28799,5.15525028799,0,0,1,1
eval_1,DDPG,5086358.8917,5.0863588917,28046.483814,0.028046483814,3,2
eval_1,TD3,5016287.49404,5.01628749404,127467.62554,0.12746762554,3,3
eval_1,SAC,4876506.28066,4.87650628066,276161.368975,0.276161368975,3,4
eval_1,BalancedLinkPolicy,4726767.7099,4.7267677099,0,0,1,5
eval_1,MidpointPolicy,4618377.68346,4.61837768346,0,0,1,6
eval_1,RandomPolicy,3654523.4332,3.6545234332,0,0,1,7
eval_1,HorizontalMidpointPolicy,3267216.84033,3.26721684033,0,0,1,8
eval_1,StaticRelayPolicy,3003977.69124,3.00397769124,0,0,1,9
eval_2,GreedyRatePolicy,5185603.49868,5.18560349868,0,0,1,1
eval_2,BalancedLinkPolicy,4993900.62897,4.99390062897,0,0,1,2
eval_2,SAC,4980526.8396,4.9805268396,57033.330217,0.057033330217,3,3
eval_2,MidpointPolicy,4783458.36198,4.78345836198,0,0,1,4
eval_2,TD3,4735980.60747,4.73598060747,551737.370804,0.551737370804,3,5
eval_2,DDPG,4446473.97031,4.44647397031,694114.142834,0.694114142834,3,6
eval_2,StaticRelayPolicy,3621893.17929,3.62189317929,0,0,1,7
eval_2,RandomPolicy,3474765.61327,3.47476561327,0,0,1,8
eval_2,HorizontalMidpointPolicy,3257151.71981,3.25715171981,0,0,1,9
eval_3,GreedyRatePolicy,5246755.24505,5.24675524505,0,0,1,1
eval_3,BalancedLinkPolicy,5238784.10866,5.23878410866,0,0,1,2
eval_3,MidpointPolicy,5104048.53703,5.10404853703,0,0,1,3
eval_3,SAC,4863636.97085,4.86363697085,228239.538945,0.228239538945,3,4
eval_3,RandomPolicy,4431117.83398,4.43111783398,0,0,1,5
eval_3,DDPG,4370025.3825,4.3700253825,433237.782256,0.433237782256,3,6
eval_3,TD3,4216241.15555,4.21624115555,61347.3451838,0.0613473451838,3,7
eval_3,HorizontalMidpointPolicy,4199857.31995,4.19985731995,0,0,1,8
eval_3,StaticRelayPolicy,4071442.01484,4.07144201484,0,0,1,9
eval_4,GreedyRatePolicy,5201860.62601,5.20186062601,0,0,1,1
eval_4,BalancedLinkPolicy,5169445.67569,5.16944567569,0,0,1,2
eval_4,MidpointPolicy,4994298.89179,4.99429889179,0,0,1,3
eval_4,SAC,4902492.59551,4.90249259551,94817.4417442,0.0948174417442,3,4
eval_4,TD3,4749066.24487,4.74906624487,517380.599169,0.517380599169,3,5
eval_4,DDPG,4312618.04402,4.31261804402,689742.344751,0.689742344751,3,6
eval_4,StaticRelayPolicy,3621893.17929,3.62189317929,0,0,1,7
eval_4,HorizontalMidpointPolicy,3621893.17929,3.62189317929,0,0,1,8
eval_4,RandomPolicy,3474765.61327,3.47476561327,0,0,1,9
