algorithm,training_seed,evaluation_episode,scenario_id,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
A0_full_td3,0,0,eval_0,3766057.7860103734,7532115.572020747,14899566.649520349,218.5946779647788,33846.62422626062,276.0981604282228,0,83,100,3766057.78601,3.76605778601,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,0,1,eval_1,4838370.843193709,9676741.686387418,11672512.238472002,913.2727626691773,3589.391043330141,395.20961529805277,0,83,100,4838370.84319,4.83837084319,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,0,2,eval_2,3957426.933519968,7914853.867039936,12300405.326712957,241.9195455474028,6323.444169688799,298.05876590712165,0,86,100,3957426.93352,3.95742693352,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,0,3,eval_3,4289498.863743381,8578997.727486761,15882020.281613285,382.69955344914626,72243.36146893355,332.16833706635236,0,81,100,4289498.86374,4.28949886374,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,0,4,eval_4,4018318.6625608965,8036637.325121793,12149061.728475578,264.71806558646927,4976.218212359513,311.77205028154503,0,79,100,4018318.66256,4.01831866256,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,1,0,eval_0,4840456.6894203685,9813857.006496392,10731895.559903549,1288.1405301719522,2051.9513374896874,390.8328720421731,0,89,100,4840456.68942,4.84045668942,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,1,1,eval_1,5080121.282550655,10160242.56510131,11226731.456235573,1325.544665435438,2637.435233975033,414.5188298507153,0,90,100,5080121.28255,5.08012128255,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,1,2,eval_2,5170110.784349561,10340221.568699121,11292299.245841399,1382.5088466718248,3174.7402539697823,425.92843666566546,0,88,100,5170110.78435,5.17011078435,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,1,3,eval_3,4139360.2669167463,8278720.533833493,10493618.744207405,393.5744420815461,1575.7320625481484,312.87645018155973,0,94,100,4139360.26692,4.13936026692,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A0_full_td3,1,4,eval_4,5146533.724030383,10293067.448060766,11249365.80709868,1338.9848084462753,2824.0794212609117,425.5348742298947,0,86,100,5146533.72403,5.14653372403,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
