method,scenario_id,step,q_R_x,q_R_y,q_R_z,rate_HR,rate_RL,rate_e2e,reward,constraint_violation,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
SAC,eval_0,1,520.116073608,512.919828415,209.717492104,3527179.2838,13872502.28,1763589.6419,1.4596447245,0,1763589.6419,1.7635896419,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,2,540.188526154,525.805421829,219.420022011,3558929.89727,13958601.5009,1779464.94864,1.47599803338,0,1779464.94864,1.77946494864,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,3,560.219272614,538.656508446,229.109594345,3588205.02976,14028049.1383,1794102.51488,1.49118699855,0,1794102.51488,1.79410251488,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,4,580.213562012,551.474916458,238.783071518,3614825.42056,14075293.748,1807412.71028,1.50517761305,0,1807412.71028,1.80741271028,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,5,600.172363281,564.260074615,248.440434456,3638634.30093,14093306.0905,1819317.15047,1.517968627,0,1819317.15047,1.81931715047,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,6,620.100204468,577.010604858,258.081290245,3659484.93097,14073405.4977,1829742.46548,1.52958314211,0,1829742.46548,1.82974246548,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,7,639.998910904,589.723615646,267.706511497,3677252.72835,14005046.575,1838626.36418,1.5400864857,0,1838626.36418,1.83862636418,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,8,659.864955902,602.411491394,277.323382378,4383944.13493,13875727.0554,2191972.06747,1.92557969316,0,2191972.06747,2.19197206747,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,9,679.672151566,615.110966682,286.926843643,5065661.03059,13671449.361,2532830.5153,2.29672667621,0,2532830.5153,2.5328305153,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,10,699.464496613,627.822463036,296.514008522,5678045.33926,13377074.7752,2839022.66963,2.63055037569,0,2839022.66963,2.83902266963,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,11,719.262519836,640.567813873,306.084939003,6229276.80825,12977519.6132,3114638.40413,2.93250501528,0,3114638.40413,3.11463840413,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,12,739.079179764,653.338362694,315.647221565,6726445.24465,12460644.7342,3363222.62233,3.20732179354,0,3363222.62233,3.36322262233,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,13,758.966320038,666.102762222,325.188737869,7175718.206,11823364.4309,3587859.103,3.45905203011,0,3587859.103,3.587859103,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
