method,scenario_id,step,q_R_x,q_R_y,q_R_z,rate_HR,rate_RL,rate_e2e,reward,constraint_violation,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
TD3,eval_0,1,523.102445602,516.956396103,208.87454319,3523514.90836,13909138.0614,1761757.45418,1.45487900939,0,1761757.45418,1.76175745418,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,2,546.177145004,533.959323883,217.732228279,3550308.73812,14033625.716,1775154.36906,1.46806076075,0,1775154.36906,1.77515436906,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,3,569.213243469,551.044782627,226.531391138,3573102.14244,14141837.6947,1786551.07122,0.4792510022,1,1786551.07122,1.78655107122,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,4,592.198904022,568.237688053,235.252820963,3591601.60225,14225356.4484,1795800.80112,1.48838412445,0,1795800.80112,1.79580080112,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,5,615.143075928,585.53318404,243.880146974,3605556.42934,14272226.4153,1802778.21467,1.49545626769,0,1802778.21467,1.80277821467,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,6,638.021820008,602.969270661,252.397538163,3634917.06713,14265702.2538,1817458.53357,0.511519500449,1,1817458.53357,1.81745853357,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,7,660.8840999,620.56576915,260.624280907,4484714.84928,14185466.6154,2242357.42464,1.97356477758,0,2242357.42464,2.24235742464,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,8,683.9617576,638.861007645,266.34317968,5214318.48612,14047901.0293,2607159.24306,2.36886109613,0,2607159.24306,2.60715924306,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,9,707.113710343,657.706794693,269.313579775,5825853.57954,13836228.2353,2912926.78977,2.70022570957,0,2912926.78977,2.91292678977,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,10,730.216159226,676.844270218,269.497661758,6328134.60124,13522002.7721,3164067.30062,1.97386280728,1,3164067.30062,3.16406730062,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
